workerid,proliferate.condition,accuracy,category,cond,conj1,conj2,internal_node_id,item,response,rt,stimulus,time_elapsed,trial_index,trial_type,error
1614,All,,,S,Jimmy,,0.0-2.0-0.56,61,['is'],,,167531,58,cloze,
1614,All,,,,Lydia,those painters,0.0-2.0-0.57,21,['are'],,,172126,59,cloze,
1614,All,,,,Zeynab,Emma,0.0-2.0-0.58,14,['is'],,,175332,60,cloze,
1614,All,,,,those farmers,Andy,0.0-2.0-0.59,22,['are'],,,177284,61,cloze,
1614,All,,,P,those kids,,0.0-2.0-0.60,43,['are'],,,178969,62,cloze,
1614,All,,,S,Hank,,0.0-2.0-0.61,73,['is'],,,180811,63,cloze,
1614,All,,,P,those tailors,,0.0-2.0-0.62,44,['are'],,,182427,64,cloze,
1614,All,,,SP,Lisa,those children,0.0-2.0-0.63,30,['are'],,,185809,65,cloze,
1614,All,,,,Ellen,those atheletes,0.0-2.0-0.64,23,['are'],,,188568,66,cloze,
1614,All,,,S,Mateo,,0.0-2.0-0.65,50,['is'],,,190542,67,cloze,
1614,All,,,P,those parents,,0.0-2.0-0.66,49,['are'],,,192159,68,cloze,
1614,All,,,SP,David,those plumbers,0.0-2.0-0.67,31,['are'],,,194399,69,cloze,
1614,All,,,S,Bill,,0.0-2.0-0.68,59,['is'],,,196823,70,cloze,
1614,All,,,,those managers,those staff members,0.0-2.0-0.69,10,['are'],,,200183,71,cloze,
1614,All,,,,these drivers,those mechanics,0.0-2.0-0.70,4,['are'],,,202739,72,cloze,
1614,All,,,,Bill,those nurses,0.0-2.0-0.71,17,['are'],,,205902,73,cloze,
1614,All,,,,Alex,Noah,0.0-2.0-0.72,16,['is'],,,209270,74,cloze,
1614,All,[],demographics,,,,0.0-3.0,,"{'age': '27', 'P0_Q0': None, 'enjoy': 'An average experiment', 'gender': 'Female', 'correct': 'Yes', 'payment': '', 'comments': '', 'language': 'Yes', 'education': 'Hold a higher degree', 'other-language': 'Spanish, Italian'}",30499,,239884,75,survey,
1614,All,,thanks,,,,0.0-4.0,,0,2982,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,242867,76,html-button-response,
