workerid,proliferate.condition,accuracy,category,cond,conj1,conj1_num,conj2,conj2_num,dataType,internal_node_id,item,response,rt,stimulus,text,time_elapsed,trial_index,trial_type,error
1625,Main,,,P,those volunteers,P,,,Filler,0.0-2.0-0.38,45,['are'],,,"Those volunteers %is,are% sorting the books.",150024,40,cloze,
1625,Main,,,PP,those librarians,P,those volunteers,P,Critical,0.0-2.0-0.39,20,['are'],,,"Either those librarians or those volunteers %is,are% sorting the books.",151403,41,cloze,
1625,Main,,,PP,these interior designers,P,these architects,P,Critical,0.0-2.0-0.40,13,['are'],,,"Either these interior designers or these architects %is,are% designing the building's layout.",152920,42,cloze,
1625,Main,,,S,Carlos,S,,,Filler,0.0-2.0-0.41,62,['is'],,,"Carlos %is,are% painting the mural.",154746,43,cloze,
1625,Main,,,P,those painters,P,,,Filler,0.0-2.0-0.42,46,['are'],,,"Those painters %is,are% using the art studio.",156373,44,cloze,
1625,Main,,,SS,Alex,S,Noah,S,Critical,0.0-2.0-0.43,16,['are'],,,"Either Alex or Noah %is,are% recording the solar eclipse.",161139,45,cloze,
1625,Main,,,SP,Lisa,S,those children,P,Filler,0.0-2.0-0.44,30,['are'],,,"Both Lisa and those children %is,are% preparing dinner.",165158,46,cloze,
1625,Main,,,PS,those electricians,P,Melissa,S,Critical,0.0-2.0-0.45,8,['are'],,,"Either those electricians or Melissa %is,are% fixing the wiring issues.",166497,47,cloze,
1625,Main,,,PS,those farmers,P,Andy,S,Critical,0.0-2.0-0.46,22,['are'],,,"Either those farmers or Andy %is,are% tending to the crops.",167739,48,cloze,
1625,Main,,,S,Ali,S,,,Filler,0.0-2.0-0.47,72,['is'],,,"Ali %is,are% cooking the festive meal.",169207,49,cloze,
1625,Main,,,PP,those police officers,P,those detectives,P,Filler,0.0-2.0-0.48,28,['are'],,,"Both those police officers and those detectives %is,are% investigating the crime scene.",170820,50,cloze,
1625,Main,,,SP,Hanako,S,those mechanics,P,Filler,0.0-2.0-0.49,29,['are'],,,"Both Hanako and those mechanics %is,are% repairing the truck engine.",173761,51,cloze,
1625,Main,,,S,Noah,S,,,Filler,0.0-2.0-0.50,57,['is'],,,"Noah %is,are% servicing the air conditioning units.",177407,52,cloze,
1625,Main,,,SP,Fatima,S,these research assistants,P,Critical,0.0-2.0-0.51,7,['are'],,,"Either Fatima or these research assistants %is,are% conducting the experiments.",179955,53,cloze,
1625,Main,,,S,Lin,S,,,Filler,0.0-2.0-0.52,51,['is'],,,"Lin %is,are% reviewing the project proposals.",181700,54,cloze,
1625,Main,,,SP,William,S,those students,P,Critical,0.0-2.0-0.53,2,['are'],,,"Either William or those students %is,are% drafting the important email.",185207,55,cloze,
1625,Main,,,S,Liam,S,,,Filler,0.0-2.0-0.54,68,['is'],,,"Liam %is,are% solving the mystery case.",191326,56,cloze,
1625,Main,,,SS,Ellen,S,Ali,S,Critical,0.0-2.0-0.55,23,['are'],,,"Either Ellen or Ali %is,are% working out at the gym.",192851,57,cloze,
1625,Main,,,PS,those boys,P,John,S,Critical,0.0-2.0-0.56,1,['are'],,,"Either those boys or John %is,are% interviewing the movie star.",206694,58,cloze,
1625,Main,,,S,Elias,S,,,Filler,0.0-2.0-0.57,52,['is'],,,"Elias %is,are% leading the scientific research.",208418,59,cloze,
1625,Main,,,SS,Lisa,S,George,S,Critical,0.0-2.0-0.58,5,['are'],,,"Either Lisa or George %is,are% preparing dinner.",209882,60,cloze,
1625,Main,,,S,Mateo,S,,,Filler,0.0-2.0-0.59,50,['is'],,,"Mateo %is,are% organizing the charity event.",211608,61,cloze,
1625,Main,,,P,those parents,P,,,Filler,0.0-2.0-0.60,49,['are'],,,"Those parents %is,are% taking care of the babies.",215931,62,cloze,
1625,Main,,,SS,Sarah,S,Matt,S,Critical,0.0-2.0-0.61,10,['are'],,,"Either Sarah or Matt %is,are% writing the end-of-year report.",217780,63,cloze,
1625,Main,,,PP,these girls,P,those boys,P,Filler,0.0-2.0-0.62,26,['are'],,,"Both these girls and those boys %is,are% interviewing the movie star.",219412,64,cloze,
1625,Main,,,P,those athletes,P,,,Filler,0.0-2.0-0.63,48,['are'],,,"Those athletes %is,are% working out at the gym.",220836,65,cloze,
1625,Main,,,S,Hasan,S,,,Filler,0.0-2.0-0.64,65,['is'],,,"Hasan %is,are% decorating the gallery.",222345,66,cloze,
1625,Main,,,SP,Krishna,S,those statisticians,P,Critical,0.0-2.0-0.65,12,['are'],,,"Either Krishna or those statisticians %is,are% analyzing the market trends.",226338,67,cloze,
1625,Main,,,S,Peter,S,,,Filler,0.0-2.0-0.66,56,['is'],,,"Peter %is,are% composing the annual report.",233212,68,cloze,
1625,Main,,,PP,those secretaries,P,those editors,P,Critical,0.0-2.0-0.67,14,['are'],,,"Either those secretaries or those editors %is,are% proofreading the manuscripts.",236873,69,cloze,
1625,Main,,,P,these photographers,P,,,Filler,0.0-2.0-0.68,41,['are'],,,"These photographers %is,are% recording the solar eclipse.",239149,70,cloze,
1625,Main,,,S,Pedro,S,,,Filler,0.0-2.0-0.69,53,['is'],,,"Pedro %is,are% editing the academic journal.",240493,71,cloze,
1625,Main,,,PP,the team of police officers,P,those detectives,P,Critical,0.0-2.0-0.70,3,['are'],,,"Either the team of police officers or those detectives %is,are% investigating the crime scene.",251956,72,cloze,
1625,Main,,,S,Zeynab,S,,,Filler,0.0-2.0-0.71,54,['is'],,,"Zeynab %is,are% caring for the garden.",256414,73,cloze,
1625,Main,,,S,Emma,S,,,Filler,0.0-2.0-0.72,55,['is'],,,"Emma %is,are% resolving the network issues",259094,74,cloze,
1625,Main,[],demographics,,,,,,,0.0-3.0,,"{'age': '32', 'P0_Q0': None, 'enjoy': 'Worse than the average experiment', 'gender': 'Male', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'Yes', 'education': 'Hold a higher degree', 'other-language': ''}",36556,,,295720,75,survey,
1625,Main,,thanks,,,,,,,0.0-4.0,,0,1265,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,,296988,76,html-button-response,
1651,Main,,irb,,,,,,,0.0-0.0,,0,5361,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",,5369,0,html-button-response,
1651,Main,,instructions,,,,,,,0.0-1.0,, ,8365,"In this experiment, you will read a series of sentences and will be asked to indicate the word which best completes it.<br><br><strong>Please type the word 'is' or 'are' in the blank.</strong> <br><br>If you're unsure about your choice, follow your first instinct.<br><br>When you're ready to begin, press the space bar.",,13735,1,html-keyboard-response,
1651,Main,,,PS,those electricians,P,Melissa,S,Filler,0.0-2.0-0.0,33,['are'],,,"Both those electricians and Melissa %is,are% fixing the wiring issues.",19139,2,cloze,
1651,Main,,,PS,those plumbers,P,David,S,Critical,0.0-2.0-0.1,6,['is'],,,"Either those plumbers or David %is,are% fixing the leaking pipe.",22981,3,cloze,
1651,Main,,,PP,these surgeons,P,those nurses,P,Critical,0.0-2.0-0.2,17,['are'],,,"Either these surgeons or those nurses %is,are% attending to the patients.",25618,4,cloze,
1651,Main,,,S,Ali,S,,,Filler,0.0-2.0-0.3,72,['is'],,,"Ali %is,are% cooking the festive meal.",28479,5,cloze,
1651,Main,,,PP,these girls,P,those boys,P,Filler,0.0-2.0-0.4,26,['are'],,,"Both these girls and those boys %is,are% interviewing the movie star.",31247,6,cloze,
1651,Main,,,S,Elias,S,,,Filler,0.0-2.0-0.5,52,['is'],,,"Elias %is,are% leading the scientific research.",34264,7,cloze,
1651,Main,,,PP,those sculptors,P,those painters,P,Critical,0.0-2.0-0.6,21,['are'],,,"Either those sculptors or those painters %is,are% using the art studio.",37532,8,cloze,
1651,Main,,,S,Lydia,S,,,Filler,0.0-2.0-0.7,67,['is'],,,"Lydia %is,are% tailoring the costumes.",39879,9,cloze,
1651,Main,,,P,those nurses,P,,,Filler,0.0-2.0-0.8,42,['are'],,,"Those nurses %is,are% attending to the patients.",41442,10,cloze,
1651,Main,,,P,those painters,P,,,Filler,0.0-2.0-0.9,46,['are'],,,"Those painters %is,are% using the art studio.",43257,11,cloze,
1651,Main,,,PS,those students,P,William,S,Critical,0.0-2.0-0.10,2,['is'],,,"Either those students or William %is,are% drafting the important email.",46461,12,cloze,
1651,Main,,,P,those athletes,P,,,Filler,0.0-2.0-0.11,48,['are'],,,"Those athletes %is,are% working out at the gym.",51089,13,cloze,
1651,Main,,,S,Mateo,S,,,Filler,0.0-2.0-0.12,50,['is'],,,"Mateo %is,are% organizing the charity event.",53524,14,cloze,
1651,Main,,,S,Yuki,S,,,Filler,0.0-2.0-0.13,66,['is'],,,"Yuki %is,are% evaluating the scholarship applications.",55607,15,cloze,
1651,Main,,,SS,Melissa,S,Patrick,S,Critical,0.0-2.0-0.14,8,['is'],,,"Either Melissa or Patrick %is,are% fixing the wiring issues.",61981,16,cloze,
1651,Main,,,P,these photographers,P,,,Filler,0.0-2.0-0.15,41,['are'],,,"These photographers %is,are% recording the solar eclipse.",63573,17,cloze,
1651,Main,,,SP,Lisa,S,those children,P,Filler,0.0-2.0-0.16,30,['are'],,,"Both Lisa and those children %is,are% preparing dinner.",66056,18,cloze,
1651,Main,,,S,Noah,S,,,Filler,0.0-2.0-0.17,57,['is'],,,"Noah %is,are% servicing the air conditioning units.",68898,19,cloze,
1651,Main,,,PP,these stylists,P,those designers,P,Critical,0.0-2.0-0.18,9,['are'],,,"Either these stylists or those designers %is,are% creating the fashion collection.",72799,20,cloze,
1651,Main,,,P,those kids,P,,,Filler,0.0-2.0-0.19,43,['are'],,,"Those kids %is,are% building the tree house.",74419,21,cloze,
1651,Main,,,PS,those mechanics,P,Hanako,S,Critical,0.0-2.0-0.20,4,['are'],,,"Either those mechanics or Hanako %is,are% repairing the truck engine.",82071,22,cloze,
1651,Main,,,PP,those secretaries,P,those editors,P,Critical,0.0-2.0-0.21,14,['are'],,,"Either those secretaries or those editors %is,are% proofreading the manuscripts.",84358,23,cloze,
1651,Main,,,SP,Lisa,S,those children,P,Critical,0.0-2.0-0.22,5,['are'],,,"Either Lisa or those children %is,are% preparing dinner.",87832,24,cloze,
1651,Main,,,S,Ellen,S,,,Filler,0.0-2.0-0.23,71,['is'],,,"Ellen %is,are% renovating the historic building.",90435,25,cloze,
1651,Main,,,S,Liam,S,,,Filler,0.0-2.0-0.24,68,['is'],,,"Liam %is,are% solving the mystery case.",93438,26,cloze,
1651,Main,,,S,Joey,S,,,Filler,0.0-2.0-0.25,70,['is'],,,"Joey %is,are% developing the game software.",95426,27,cloze,
1651,Main,,,SS,Krishna,S,Amir,S,Filler,0.0-2.0-0.26,37,['are'],,,"Both Krishna and Amir %is,are% analyzing the market trends.",97637,28,cloze,
1651,Main,,,SS,Juan,S,Antonio,S,Filler,0.0-2.0-0.27,36,['are'],,,"Both Juan and Antonio %is,are% making the admission decisions.",99712,29,cloze,
1651,Main,,,SP,Hank,S,those parents,P,Critical,0.0-2.0-0.28,24,['are'],,,"Either Hank or those parents %is,are% taking care of the babies.",102236,30,cloze,
1651,Main,,,P,those tailors,P,,,Filler,0.0-2.0-0.29,44,['are'],,,"Those tailors %is,are% sewing the dresses.",103825,31,cloze,
1651,Main,,,SP,Peter,S,those lawyers,P,Critical,0.0-2.0-0.30,15,['are'],,,"Either Peter or those lawyers %is,are% handling the legal documents.",105865,32,cloze,
1651,Main,,,SS,Hasan,S,Yuki,S,Critical,0.0-2.0-0.31,20,['are'],,,"Either Hasan or Yuki %is,are% sorting the books.",111440,33,cloze,
1651,Main,,,P,those volunteers,P,,,Filler,0.0-2.0-0.32,45,['are'],,,"Those volunteers %is,are% sorting the books.",113405,34,cloze,
1651,Main,,,S,Pedro,S,,,Filler,0.0-2.0-0.33,53,['is'],,,"Pedro %is,are% editing the academic journal.",115805,35,cloze,
1651,Main,,,PS,these architects,P,Mateo,S,Critical,0.0-2.0-0.34,13,['are'],,,"Either these architects or Mateo %is,are% designing the building's layout.",120691,36,cloze,
1651,Main,,,SP,Hanako,S,those mechanics,P,Filler,0.0-2.0-0.35,29,['are'],,,"Both Hanako and those mechanics %is,are% repairing the truck engine.",123094,37,cloze,
1651,Main,,,S,Bill,S,,,Filler,0.0-2.0-0.36,59,['is'],,,"Bill %is,are% planning the conference.",124973,38,cloze,
1651,Main,,,PS,those detectives,P,Harry,S,Critical,0.0-2.0-0.37,3,['are'],,,"Either those detectives or Harry %is,are% investigating the crime scene.",128955,39,cloze,
1651,Main,,,P,those parents,P,,,Filler,0.0-2.0-0.38,49,['are'],,,"Those parents %is,are% taking care of the babies.",130372,40,cloze,
1651,Main,,,PS,those designers,P,Brian,S,Filler,0.0-2.0-0.39,34,['are'],,,"Both those designers and Brian %is,are% creating the fashion collection.",132826,41,cloze,
1651,Main,,,S,Jimmy,S,,,Filler,0.0-2.0-0.40,61,['is'],,,"Jimmy %is,are% fertilizing the fields.",134555,42,cloze,
1651,Main,,,SP,Krishna,S,those statisticians,P,Critical,0.0-2.0-0.41,12,['are'],,,"Either Krishna or those statisticians %is,are% analyzing the market trends.",137141,43,cloze,
1651,Main,,,PP,those police officers,P,those detectives,P,Filler,0.0-2.0-0.42,28,['are'],,,"Both those police officers and those detectives %is,are% investigating the crime scene.",140354,44,cloze,
1651,Main,,,SS,Sarah,S,Matt,S,Filler,0.0-2.0-0.43,35,['are'],,,"Both Sarah and Matt %is,are% writing the end-of-year report.",142161,45,cloze,
1651,Main,,,PS,these research assistants,P,Fatima,S,Filler,0.0-2.0-0.44,32,['are'],,,"Both these research assistants and Fatima %is,are% conducting the experiments.",144402,46,cloze,
1651,Main,,,S,Hank,S,,,Filler,0.0-2.0-0.45,73,['is'],,,"Hank %is,are% constructing the playground.",146348,47,cloze,
1651,Main,,,SS,John,S,Mary,S,Critical,0.0-2.0-0.46,1,['is'],,,"Either John or Mary %is,are% interviewing the movie star.",150123,48,cloze,
1651,Main,,,PS,these teachers,P,Juan,S,Critical,0.0-2.0-0.47,11,['are'],,,"Either these teachers or Juan %is,are% making the admission decisions.",153053,49,cloze,
1651,Main,,,SS,Alex,S,Noah,S,Critical,0.0-2.0-0.48,16,['is'],,,"Either Alex or Noah %is,are% recording the solar eclipse.",155624,50,cloze,
1651,Main,,,P,those farmers,P,,,Filler,0.0-2.0-0.49,47,['are'],,,"Those farmers %is,are% tending to the crops.",157704,51,cloze,
1651,Main,,,PS,those tailors,P,Thomas,S,Critical,0.0-2.0-0.50,19,['are'],,,"Either those tailors or Thomas %is,are% sewing the dresses.",160196,52,cloze,
1651,Main,,,PS,those athletes,P,Ellen,S,Critical,0.0-2.0-0.51,23,['are'],,,"Either those athletes or Ellen %is,are% working out at the gym.",162627,53,cloze,
1651,Main,,,S,Alex,S,,,Filler,0.0-2.0-0.52,58,['is'],,,"Alex %is,are% installing the security system.",164643,54,cloze,
1651,Main,,,PS,those kids,P,Jimmy,S,Critical,0.0-2.0-0.53,18,['are'],,,"Either those kids or Jimmy %is,are% building the tree house.",168984,55,cloze,
1651,Main,,,S,Carlos,S,,,Filler,0.0-2.0-0.54,62,['is'],,,"Carlos %is,are% painting the mural.",171346,56,cloze,
1651,Main,,,SP,David,S,those plumbers,P,Filler,0.0-2.0-0.55,31,['are'],,,"Both David and those plumbers %is,are% fixing the leaking pipe.",175998,57,cloze,
1651,Main,,,S,Kim,S,,,Filler,0.0-2.0-0.56,60,['is'],,,"Kim %is,are% cataloging the library collection.",178206,58,cloze,
1651,Main,,,SP,Sarah,S,those staff members,P,Critical,0.0-2.0-0.57,10,['are'],,,"Either Sarah or those staff members %is,are% writing the end-of-year report.",180423,59,cloze,
1651,Main,,,SS,Fatima,S,Lucas,S,Critical,0.0-2.0-0.58,7,['is'],,,"Either Fatima or Lucas %is,are% conducting the experiments.",183667,60,cloze,
1651,Main,,,S,Emma,S,,,Filler,0.0-2.0-0.59,55,['is'],,,"Emma %is,are% resolving the network issues",187558,61,cloze,
1651,Main,,,S,Hasan,S,,,Filler,0.0-2.0-0.60,65,['is'],,,"Hasan %is,are% decorating the gallery.",189433,62,cloze,
1651,Main,,,SS,Andy,S,Joey,S,Critical,0.0-2.0-0.61,22,['is'],,,"Either Andy or Joey %is,are% tending to the crops.",193484,63,cloze,
1651,Main,,,P,those lawyers,P,,,Filler,0.0-2.0-0.62,40,['are'],,,"Those lawyers %is,are% handling the legal documents.",195887,64,cloze,
1651,Main,,,P,these architects,P,,,Filler,0.0-2.0-0.63,38,['are'],,,"These architects %is,are% designing the building's layout.",198330,65,cloze,
1651,Main,,,SP,Hossein,S,those illustrators,P,Critical,0.0-2.0-0.64,25,['are'],,,"Either Hossein or those illustrators %is,are% sketching the concept art.",200448,66,cloze,
1651,Main,,,S,Lin,S,,,Filler,0.0-2.0-0.65,51,['is'],,,"Lin %is,are% reviewing the project proposals.",202326,67,cloze,
1651,Main,,,S,Maria,S,,,Filler,0.0-2.0-0.66,64,['is'],,,"Maria %is,are% producing the documentary film.",204191,68,cloze,
1651,Main,,,P,those editors,P,,,Filler,0.0-2.0-0.67,39,['are'],,,"Those editors %is,are% proofreading the manuscripts.",205976,69,cloze,
1651,Main,,,PP,these professors,P,those students,P,Filler,0.0-2.0-0.68,27,['are'],,,"Both these professors and those students %is,are% drafting the important email.",208861,70,cloze,
1651,Main,,,S,Zeynab,S,,,Filler,0.0-2.0-0.69,54,['is'],,,"Zeynab %is,are% caring for the garden.",210759,71,cloze,
1651,Main,,,S,Peter,S,,,Filler,0.0-2.0-0.70,56,['is'],,,"Peter %is,are% composing the annual report.",212408,72,cloze,
1651,Main,,,S,Thomas,S,,,Filler,0.0-2.0-0.71,63,['is'],,,"Thomas %is,are% training at the sports center.",214079,73,cloze,
1651,Main,,,S,Andy,S,,,Filler,0.0-2.0-0.72,69,['is'],,,"Andy %is,are% capturing the wildlife in photographs.",215600,74,cloze,
1651,Main,[],demographics,,,,,,,0.0-3.0,,"{'age': '25', 'P0_Q0': None, 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'Yes', 'education': 'Some college', 'other-language': ''}",20469,,,236125,75,survey,
1651,Main,,thanks,,,,,,,0.0-4.0,,0,1117,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,,237244,76,html-button-response,
