workerid,proliferate.condition,accuracy,category,cond,conj1,conj1_num,conj2,conj2_num,dataType,internal_node_id,item,response,rt,stimulus,text,time_elapsed,trial_index,trial_type,error
1752,Main,,,SS,Harry,S,Ahmad,S,Critical,0.0-2.0-0.19,3,['are'],,,"Either Harry or Ahmad %is,are% investigating the crime scene.",168600,21,cloze,
1752,Main,,,S,Ellen,S,,,Filler,0.0-2.0-0.20,71,['is'],,,"Ellen %is,are% renovating the historic building.",172590,22,cloze,
1752,Main,,,S,Ali,S,,,Filler,0.0-2.0-0.21,72,['is'],,,"Ali %is,are% cooking the festive meal.",176220,23,cloze,
1752,Main,,,P,those kids,P,,,Filler,0.0-2.0-0.22,43,['are'],,,"Those kids %is,are% building the tree house.",179265,24,cloze,
1752,Main,,,P,those tailors,P,,,Filler,0.0-2.0-0.23,44,['are'],,,"Those tailors %is,are% sewing the dresses.",183015,25,cloze,
1752,Main,,,S,Joey,S,,,Filler,0.0-2.0-0.24,70,['is'],,,"Joey %is,are% developing the game software.",186368,26,cloze,
1752,Main,,,S,Zeynab,S,,,Filler,0.0-2.0-0.25,54,['is'],,,"Zeynab %is,are% caring for the garden.",189638,27,cloze,
1752,Main,,,SS,Bill,S,Kim,S,Critical,0.0-2.0-0.26,17,['is'],,,"Either Bill or Kim %is,are% attending to the patients.",207076,28,cloze,
1752,Main,,,S,Kim,S,,,Filler,0.0-2.0-0.27,60,['is'],,,"Kim %is,are% cataloging the library collection.",210099,29,cloze,
1752,Main,,,S,Noah,S,,,Filler,0.0-2.0-0.28,57,['is'],,,"Noah %is,are% servicing the air conditioning units.",213068,30,cloze,
1752,Main,,,PP,these professors,P,those students,P,Filler,0.0-2.0-0.29,27,['are'],,,"Both these professors and those students %is,are% drafting the important email.",218416,31,cloze,
1752,Main,,,SS,Sarah,S,Matt,S,Filler,0.0-2.0-0.30,35,['are'],,,"Both Sarah and Matt %is,are% writing the end-of-year report.",222556,32,cloze,
1752,Main,,,PP,those administrators,P,these teachers,P,Critical,0.0-2.0-0.31,11,['are'],,,"Either those administrators or these teachers %is,are% making the admission decisions.",234407,33,cloze,
1752,Main,,,SS,Peter,S,Noah,S,Critical,0.0-2.0-0.32,15,['are'],,,"Either Peter or Noah %is,are% handling the legal documents.",262862,34,cloze,
1752,Main,,,SS,Hanako,S,George,S,Critical,0.0-2.0-0.33,4,['is'],,,"Either Hanako or George %is,are% repairing the truck engine.",270850,35,cloze,
1752,Main,,,PP,those secretaries,P,those editors,P,Critical,0.0-2.0-0.34,14,['are'],,,"Either those secretaries or those editors %is,are% proofreading the manuscripts.",279956,36,cloze,
1752,Main,,,P,those lawyers,P,,,Filler,0.0-2.0-0.35,40,['are'],,,"Those lawyers %is,are% handling the legal documents.",283789,37,cloze,
1752,Main,,,SS,Juan,S,Antonio,S,Filler,0.0-2.0-0.36,36,['are'],,,"Both Juan and Antonio %is,are% making the admission decisions.",301077,38,cloze,
1752,Main,,,S,Carlos,S,,,Filler,0.0-2.0-0.37,62,['is'],,,"Carlos %is,are% painting the mural.",305089,39,cloze,
1752,Main,,,S,Hank,S,,,Filler,0.0-2.0-0.38,73,['is'],,,"Hank %is,are% constructing the playground.",308030,40,cloze,
1752,Main,,,SP,Hanako,S,those mechanics,P,Filler,0.0-2.0-0.39,29,['are'],,,"Both Hanako and those mechanics %is,are% repairing the truck engine.",316039,41,cloze,
1752,Main,,,S,Maria,S,,,Filler,0.0-2.0-0.40,64,['is'],,,"Maria %is,are% producing the documentary film.",320389,42,cloze,
1752,Main,,,SP,David,S,those plumbers,P,Filler,0.0-2.0-0.41,31,['are'],,,"Both David and those plumbers %is,are% fixing the leaking pipe.",325040,43,cloze,
1752,Main,,,S,Emma,S,,,Filler,0.0-2.0-0.42,55,['is'],,,"Emma %is,are% resolving the network issues",328317,44,cloze,
1752,Main,,,SS,Fatima,S,Lucas,S,Critical,0.0-2.0-0.43,7,['is'],,,"Either Fatima or Lucas %is,are% conducting the experiments.",346948,45,cloze,
1752,Main,,,P,those parents,P,,,Filler,0.0-2.0-0.44,49,['are'],,,"Those parents %is,are% taking care of the babies.",350105,46,cloze,
1752,Main,,,P,those farmers,P,,,Filler,0.0-2.0-0.45,47,['are'],,,"Those farmers %is,are% tending to the crops.",353286,47,cloze,
1752,Main,,,PP,those art students,P,those illustrators,P,Critical,0.0-2.0-0.46,25,['are'],,,"Either those art students or those illustrators %is,are% sketching the concept art.",370079,48,cloze,
1752,Main,,,PP,those gardeners,P,those farmers,P,Critical,0.0-2.0-0.47,22,['are'],,,"Either those gardeners or those farmers %is,are% tending to the crops.",391147,49,cloze,
1752,Main,,,P,those painters,P,,,Filler,0.0-2.0-0.48,46,['are'],,,"Those painters %is,are% using the art studio.",394447,50,cloze,
1752,Main,,,S,Thomas,S,,,Filler,0.0-2.0-0.49,63,['is'],,,"Thomas %is,are% training at the sports center.",397965,51,cloze,
1752,Main,,,S,Peter,S,,,Filler,0.0-2.0-0.50,56,['is'],,,"Peter %is,are% composing the annual report.",401033,52,cloze,
1752,Main,,,S,Bill,S,,,Filler,0.0-2.0-0.51,59,['is'],,,"Bill %is,are% planning the conference.",403897,53,cloze,
1752,Main,,,PS,those painters,P,Lydia,S,Critical,0.0-2.0-0.52,21,['is'],,,"Either those painters or Lydia %is,are% using the art studio.",419956,54,cloze,
1752,Main,,,SP,Ellen,S,those athletes,P,Critical,0.0-2.0-0.53,23,['are'],,,"Either Ellen or those athletes %is,are% working out at the gym.",424118,55,cloze,
1752,Main,,,PS,these photographers,P,Alex,S,Critical,0.0-2.0-0.54,16,['is'],,,"Either these photographers or Alex %is,are% recording the solar eclipse.",431071,56,cloze,
1752,Main,,,PS,those staff members,P,Sarah,S,Critical,0.0-2.0-0.55,10,['is'],,,"Either those staff members or Sarah %is,are% writing the end-of-year report.",434837,57,cloze,
1752,Main,,,SS,David,S,Joan,S,Critical,0.0-2.0-0.56,6,['is'],,,"Either David or Joan %is,are% fixing the leaking pipe.",441339,58,cloze,
1752,Main,,,S,Elias,S,,,Filler,0.0-2.0-0.57,52,['is'],,,"Elias %is,are% leading the scientific research.",444444,59,cloze,
1752,Main,,,PP,those economists,P,those statisticians,P,Critical,0.0-2.0-0.58,12,['are'],,,"Either those economists or those statisticians %is,are% analyzing the market trends.",448592,60,cloze,
1752,Main,,,S,Yuki,S,,,Filler,0.0-2.0-0.59,66,['is'],,,"Yuki %is,are% evaluating the scholarship applications.",451562,61,cloze,
1752,Main,,,P,these architects,P,,,Filler,0.0-2.0-0.60,38,['are'],,,"These architects %is,are% designing the building's layout.",454675,62,cloze,
1752,Main,,,P,those nurses,P,,,Filler,0.0-2.0-0.61,42,['are'],,,"Those nurses %is,are% attending to the patients.",457945,63,cloze,
1752,Main,,,SS,Melissa,S,Patrick,S,Critical,0.0-2.0-0.62,8,['is'],,,"Either Melissa or Patrick %is,are% fixing the wiring issues.",461621,64,cloze,
1752,Main,,,SP,Jimmy,S,those kids,P,Critical,0.0-2.0-0.63,18,['are'],,,"Either Jimmy or those kids %is,are% building the tree house.",464830,65,cloze,
1752,Main,,,S,Liam,S,,,Filler,0.0-2.0-0.64,68,['is'],,,"Liam %is,are% solving the mystery case.",467597,66,cloze,
1752,Main,,,SS,Krishna,S,Amir,S,Filler,0.0-2.0-0.65,37,['are'],,,"Both Krishna and Amir %is,are% analyzing the market trends.",472832,67,cloze,
1752,Main,,,PP,these stylists,P,those designers,P,Critical,0.0-2.0-0.66,9,['are'],,,"Either these stylists or those designers %is,are% creating the fashion collection.",477565,68,cloze,
1752,Main,,,PS,those tailors,P,Thomas,S,Critical,0.0-2.0-0.67,19,['is'],,,"Either those tailors or Thomas %is,are% sewing the dresses.",483760,69,cloze,
1752,Main,,,P,these photographers,P,,,Filler,0.0-2.0-0.68,41,['are'],,,"These photographers %is,are% recording the solar eclipse.",487869,70,cloze,
1752,Main,,,P,those editors,P,,,Filler,0.0-2.0-0.69,39,['are'],,,"Those editors %is,are% proofreading the manuscripts.",490741,71,cloze,
1752,Main,,,S,Lydia,S,,,Filler,0.0-2.0-0.70,67,['is'],,,"Lydia %is,are% tailoring the costumes.",493569,72,cloze,
1752,Main,,,S,Andy,S,,,Filler,0.0-2.0-0.71,69,['is'],,,"Andy %is,are% capturing the wildlife in photographs.",496179,73,cloze,
1752,Main,,,PP,these girls,P,those boys,P,Critical,0.0-2.0-0.72,1,['are'],,,"Either these girls or those boys %is,are% interviewing the movie star.",499329,74,cloze,
1752,Main,[],demographics,,,,,,,0.0-3.0,,"{'age': '40', 'P0_Q0': None, 'enjoy': 'An average experiment', 'gender': 'Female', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'Yes', 'education': 'Graduated college', 'other-language': ''}",32168,,,531552,75,survey,
1752,Main,,thanks,,,,,,,0.0-4.0,,0,2157,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,,533711,76,html-button-response,
1786,Main,,irb,,,,,,,0.0-0.0,,0,7776,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",,7813,0,html-button-response,
1786,Main,,instructions,,,,,,,0.0-1.0,, ,24650,"In this experiment, you will read a series of sentences and will be asked to indicate the word which best completes it.<br><br><strong>Please type the word 'is' or 'are' in the blank.</strong> <br><br>If you're unsure about your choice, follow your first instinct.<br><br>When you're ready to begin, press the space bar.",,32465,1,html-keyboard-response,
1786,Main,,,PS,those editors,P,Zeynab,S,Critical,0.0-2.0-0.0,14,['are'],,,"Either those editors or Zeynab %is,are% proofreading the manuscripts.",44681,2,cloze,
1786,Main,,,P,those tailors,P,,,Filler,0.0-2.0-0.1,44,['are'],,,"Those tailors %is,are% sewing the dresses.",47913,3,cloze,
1786,Main,,,S,Bill,S,,,Filler,0.0-2.0-0.2,59,['is'],,,"Bill %is,are% planning the conference.",50778,4,cloze,
1786,Main,,,SS,Thomas,S,Maria,S,Critical,0.0-2.0-0.3,19,['are'],,,"Either Thomas or Maria %is,are% sewing the dresses.",54190,5,cloze,
1786,Main,,,S,Peter,S,,,Filler,0.0-2.0-0.4,56,['is'],,,"Peter %is,are% composing the annual report.",58227,6,cloze,
1786,Main,,,S,Emma,S,,,Filler,0.0-2.0-0.5,55,['is'],,,"Emma %is,are% resolving the network issues",61241,7,cloze,
1786,Main,,,S,Alex,S,,,Filler,0.0-2.0-0.6,58,['is'],,,"Alex %is,are% installing the security system.",65374,8,cloze,
1786,Main,,,P,those painters,P,,,Filler,0.0-2.0-0.7,46,['are'],,,"Those painters %is,are% using the art studio.",71531,9,cloze,
1786,Main,,,S,Hasan,S,,,Filler,0.0-2.0-0.8,65,['is'],,,"Hasan %is,are% decorating the gallery.",76496,10,cloze,
1786,Main,,,S,Lydia,S,,,Filler,0.0-2.0-0.9,67,['is'],,,"Lydia %is,are% tailoring the costumes.",79825,11,cloze,
1786,Main,,,SS,David,S,Joan,S,Critical,0.0-2.0-0.10,6,['are'],,,"Either David or Joan %is,are% fixing the leaking pipe.",86875,12,cloze,
1786,Main,,,SP,David,S,those plumbers,P,Filler,0.0-2.0-0.11,31,['are'],,,"Both David and those plumbers %is,are% fixing the leaking pipe.",96993,13,cloze,
1786,Main,,,S,Mateo,S,,,Filler,0.0-2.0-0.12,50,['is'],,,"Mateo %is,are% organizing the charity event.",101141,14,cloze,
1786,Main,,,S,Noah,S,,,Filler,0.0-2.0-0.13,57,['is'],,,"Noah %is,are% servicing the air conditioning units.",104050,15,cloze,
1786,Main,,,S,Maria,S,,,Filler,0.0-2.0-0.14,64,['is'],,,"Maria %is,are% producing the documentary film.",106832,16,cloze,
1786,Main,,,S,Lin,S,,,Filler,0.0-2.0-0.15,51,['is'],,,"Lin %is,are% reviewing the project proposals.",110583,17,cloze,
1786,Main,,,P,these photographers,P,,,Filler,0.0-2.0-0.16,41,['are'],,,"These photographers %is,are% recording the solar eclipse.",113275,18,cloze,
1786,Main,,,S,Andy,S,,,Filler,0.0-2.0-0.17,69,['is'],,,"Andy %is,are% capturing the wildlife in photographs.",116072,19,cloze,
1786,Main,,,P,these architects,P,,,Filler,0.0-2.0-0.18,38,['are'],,,"These architects %is,are% designing the building's layout.",118412,20,cloze,
1786,Main,,,S,Liam,S,,,Filler,0.0-2.0-0.19,68,['is'],,,"Liam %is,are% solving the mystery case.",123640,21,cloze,
1786,Main,,,S,Kim,S,,,Filler,0.0-2.0-0.20,60,['is'],,,"Kim %is,are% cataloging the library collection.",128815,22,cloze,
1786,Main,,,P,those nurses,P,,,Filler,0.0-2.0-0.21,42,['are'],,,"Those nurses %is,are% attending to the patients.",132445,23,cloze,
1786,Main,,,PP,these professors,P,those students,P,Filler,0.0-2.0-0.22,27,['are'],,,"Both these professors and those students %is,are% drafting the important email.",139591,24,cloze,
1786,Main,,,PS,those illustrators,P,Hossein,S,Critical,0.0-2.0-0.23,25,['are'],,,"Either those illustrators or Hossein %is,are% sketching the concept art.",145562,25,cloze,
1786,Main,,,S,Thomas,S,,,Filler,0.0-2.0-0.24,63,['is'],,,"Thomas %is,are% training at the sports center.",148134,26,cloze,
1786,Main,,,PS,those designers,P,Brian,S,Filler,0.0-2.0-0.25,34,['are'],,,"Both those designers and Brian %is,are% creating the fashion collection.",151231,27,cloze,
1786,Main,,,P,those volunteers,P,,,Filler,0.0-2.0-0.26,45,['are'],,,"Those volunteers %is,are% sorting the books.",153444,28,cloze,
1786,Main,,,P,those kids,P,,,Filler,0.0-2.0-0.27,43,['are'],,,"Those kids %is,are% building the tree house.",155484,29,cloze,
1786,Main,,,SP,Jimmy,S,those kids,P,Critical,0.0-2.0-0.28,18,['are'],,,"Either Jimmy or those kids %is,are% building the tree house.",158529,30,cloze,
1786,Main,,,S,Jimmy,S,,,Filler,0.0-2.0-0.29,61,['is'],,,"Jimmy %is,are% fertilizing the fields.",160711,31,cloze,
1786,Main,,,P,those parents,P,,,Filler,0.0-2.0-0.30,49,['are'],,,"Those parents %is,are% taking care of the babies.",163479,32,cloze,
1786,Main,,,SP,Brian,S,those designers,P,Critical,0.0-2.0-0.31,9,['are'],,,"Either Brian or those designers %is,are% creating the fashion collection.",167124,33,cloze,
1786,Main,,,SS,Alex,S,Noah,S,Critical,0.0-2.0-0.32,16,['is'],,,"Either Alex or Noah %is,are% recording the solar eclipse.",169996,34,cloze,
1786,Main,,,PP,those police officers,P,those detectives,P,Filler,0.0-2.0-0.33,28,['are'],,,"Both those police officers and those detectives %is,are% investigating the crime scene.",173641,35,cloze,
1786,Main,,,PS,those electricians,P,Melissa,S,Filler,0.0-2.0-0.34,33,['are'],,,"Both those electricians and Melissa %is,are% fixing the wiring issues.",180339,36,cloze,
1786,Main,,,P,those editors,P,,,Filler,0.0-2.0-0.35,39,['are'],,,"Those editors %is,are% proofreading the manuscripts.",183774,37,cloze,
1786,Main,,,PP,those administrators,P,these teachers,P,Critical,0.0-2.0-0.36,11,['are'],,,"Either those administrators or these teachers %is,are% making the admission decisions.",192128,38,cloze,
1786,Main,,,SS,Sarah,S,Matt,S,Filler,0.0-2.0-0.37,35,['are'],,,"Both Sarah and Matt %is,are% writing the end-of-year report.",195308,39,cloze,
1786,Main,,,SS,Fatima,S,Lucas,S,Critical,0.0-2.0-0.38,7,['are'],,,"Either Fatima or Lucas %is,are% conducting the experiments.",199628,40,cloze,
1786,Main,,,PP,those librarians,P,those volunteers,P,Critical,0.0-2.0-0.39,20,['are'],,,"Either those librarians or those volunteers %is,are% sorting the books.",203250,41,cloze,
1786,Main,,,SS,Lydia,S,Liam,S,Critical,0.0-2.0-0.40,21,['is'],,,"Either Lydia or Liam %is,are% using the art studio.",206370,42,cloze,
1786,Main,,,SP,Melissa,S,those electricians,P,Critical,0.0-2.0-0.41,8,['are'],,,"Either Melissa or those electricians %is,are% fixing the wiring issues.",209520,43,cloze,
1786,Main,,,PS,these research assistants,P,Fatima,S,Filler,0.0-2.0-0.42,32,['are'],,,"Both these research assistants and Fatima %is,are% conducting the experiments.",213443,44,cloze,
1786,Main,,,PP,these cooks,P,those children,P,Critical,0.0-2.0-0.43,5,['are'],,,"Either these cooks or those children %is,are% preparing dinner.",218265,45,cloze,
1786,Main,,,PP,these girls,P,those boys,P,Filler,0.0-2.0-0.44,26,['are'],,,"Both these girls and those boys %is,are% interviewing the movie star.",221257,46,cloze,
1786,Main,,,SS,Krishna,S,Amir,S,Filler,0.0-2.0-0.45,37,['are'],,,"Both Krishna and Amir %is,are% analyzing the market trends.",224063,47,cloze,
1786,Main,,,S,Hank,S,,,Filler,0.0-2.0-0.46,73,['is'],,,"Hank %is,are% constructing the playground.",231517,48,cloze,
1786,Main,,,S,Ali,S,,,Filler,0.0-2.0-0.47,72,['is'],,,"Ali %is,are% cooking the festive meal.",234832,49,cloze,
1786,Main,,,SP,Krishna,S,those statisticians,P,Critical,0.0-2.0-0.48,12,['are'],,,"Either Krishna or those statisticians %is,are% analyzing the market trends.",238942,50,cloze,
1786,Main,,,SS,William,S,Jackie,S,Critical,0.0-2.0-0.49,2,['is'],,,"Either William or Jackie %is,are% drafting the important email.",252037,51,cloze,
1786,Main,,,S,Pedro,S,,,Filler,0.0-2.0-0.50,53,['is'],,,"Pedro %is,are% editing the academic journal.",254211,52,cloze,
1786,Main,,,PP,those babysitters,P,those parents,P,Critical,0.0-2.0-0.51,24,['are'],,,"Either those babysitters or those parents %is,are% taking care of the babies.",257744,53,cloze,
1786,Main,,,SP,Peter,S,those lawyers,P,Critical,0.0-2.0-0.52,15,['are'],,,"Either Peter or those lawyers %is,are% handling the legal documents.",260512,54,cloze,
1786,Main,,,SS,Harry,S,Ahmad,S,Critical,0.0-2.0-0.53,3,['are'],,,"Either Harry or Ahmad %is,are% investigating the crime scene.",270651,55,cloze,
1786,Main,,,S,Yuki,S,,,Filler,0.0-2.0-0.54,66,['is'],,,"Yuki %is,are% evaluating the scholarship applications.",273718,56,cloze,
1786,Main,,,S,Carlos,S,,,Filler,0.0-2.0-0.55,62,['is'],,,"Carlos %is,are% painting the mural.",278932,57,cloze,
1786,Main,,,SS,Hanako,S,George,S,Critical,0.0-2.0-0.56,4,['is'],,,"Either Hanako or George %is,are% repairing the truck engine.",307994,58,cloze,
1786,Main,,,S,Ellen,S,,,Filler,0.0-2.0-0.57,71,['is'],,,"Ellen %is,are% renovating the historic building.",319220,59,cloze,
1786,Main,,,SP,John,S,those boys,P,Critical,0.0-2.0-0.58,1,['are'],,,"Either John or those boys %is,are% interviewing the movie star.",324342,60,cloze,
1786,Main,,,P,those lawyers,P,,,Filler,0.0-2.0-0.59,40,['are'],,,"Those lawyers %is,are% handling the legal documents.",326795,61,cloze,
1786,Main,,,PP,these interior designers,P,these architects,P,Critical,0.0-2.0-0.60,13,['are'],,,"Either these interior designers or these architects %is,are% designing the building's layout.",330417,62,cloze,
1786,Main,,,S,Elias,S,,,Filler,0.0-2.0-0.61,52,['is'],,,"Elias %is,are% leading the scientific research.",332975,63,cloze,
1786,Main,,,SP,Andy,S,those farmers,P,Critical,0.0-2.0-0.62,22,['are'],,,"Either Andy or those farmers %is,are% tending to the crops.",338795,64,cloze,
1786,Main,,,SP,Hanako,S,those mechanics,P,Filler,0.0-2.0-0.63,29,['are'],,,"Both Hanako and those mechanics %is,are% repairing the truck engine.",341547,65,cloze,
1786,Main,,,S,Zeynab,S,,,Filler,0.0-2.0-0.64,54,['is'],,,"Zeynab %is,are% caring for the garden.",343988,66,cloze,
1786,Main,,,PS,those nurses,P,Bill,S,Critical,0.0-2.0-0.65,17,['are'],,,"Either those nurses or Bill %is,are% attending to the patients.",350600,67,cloze,
1786,Main,,,PP,those trainers,P,those athletes,P,Critical,0.0-2.0-0.66,23,['are'],,,"Either those trainers or those athletes %is,are% working out at the gym.",353794,68,cloze,
1786,Main,,,S,Joey,S,,,Filler,0.0-2.0-0.67,70,['is'],,,"Joey %is,are% developing the game software.",356097,69,cloze,
1786,Main,,,P,those farmers,P,,,Filler,0.0-2.0-0.68,47,['are'],,,"Those farmers %is,are% tending to the crops.",358211,70,cloze,
1786,Main,,,SP,Lisa,S,those children,P,Filler,0.0-2.0-0.69,30,['are'],,,"Both Lisa and those children %is,are% preparing dinner.",361661,71,cloze,
1786,Main,,,P,those athletes,P,,,Filler,0.0-2.0-0.70,48,['are'],,,"Those athletes %is,are% working out at the gym.",364226,72,cloze,
1786,Main,,,SS,Juan,S,Antonio,S,Filler,0.0-2.0-0.71,36,['are'],,,"Both Juan and Antonio %is,are% making the admission decisions.",367893,73,cloze,
1786,Main,,,PS,those staff members,P,Sarah,S,Critical,0.0-2.0-0.72,10,['is'],,,"Either those staff members or Sarah %is,are% writing the end-of-year report.",372724,74,cloze,
1786,Main,[],demographics,,,,,,,0.0-3.0,,"{'age': '34', 'P0_Q0': None, 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'Yes', 'education': 'Some college', 'other-language': ''}",25131,,,398021,75,survey,
1786,Main,,thanks,,,,,,,0.0-4.0,,0,2328,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,,400354,76,html-button-response,
