experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	BFPL and / or its respective suppliers	make	make	Plur	make	root	BFPL and/or its respective suppliers make no representations about the suitability, reliability, timeliness, and accuracy of the information, software, products, services, or any other items and related graphics contained on this web site for any purpose whatsoever.	c4-train.00001-of-01024_parsed_xad.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	BFPL and / or its respective suppliers	disclaim	disclaim	Plur	disclaim	root	BFPL and/or its respective suppliers hereby disclaim all warranties and conditions with regard to this information, software, products, services and related graphics, including all implied warranties and conditions of merchantability, fitness for a particular purpose, title and non-infringement.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a web browser or other client	uses	use	Sing	use	acl:relcl	If the CA is not on the list of vetted CA’s then each time a web browser or other client uses a certificate signed by the untrusted CA, there will be a warning.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	his affirmations ( or lack thereof )	mean	mean	Plur	mean	acl:relcl	InQueery writer Bridget explores what his affirmations (or lack thereof) mean for the queer community.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Vermont or California	want	want	Plur	want	advcl	So if Vermont or California want a single player type system and they can afford to do it, great let them.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	our phones , or their apps ,	are	be	Plur	track	aux	Time and again we have learned that our phones, or their apps, are tracking us, collecting data on us that they don’t need.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The expression ' Buckingham Palace ' or ' The Palace '	has	have	Sing	become	aux	The expression 'Buckingham Palace' or 'The Palace' has latterly become a common way of referring to the source of press statements coming from parts of the British Royal Family.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Pronoun	, Milton ethereal or the concert by means of a bus	bake	bake		bake	parataxis	The sense after a search bug Sell My Idea, Milton ethereal or the concert by means of a bus bake intolerable.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your home or business in Wixom MI	Has	have	Sing	experience	aux	Has your home or business in Wixom MI experienced a water damage or flooding emergency and requires a 24 hour water damage restoration company?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your home or business in Wixom MI	has	have	Sing	experience	aux	If your home or business in Wixom MI has experienced water damage due to any type of accident or disaster call Capital Flood Restoration.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the website or web enabled application	keeps	keep	Sing	keep	ccomp	To ensure that the website or web enabled application keeps satisfying your specific business needs and requirements, you will need to reengineer them from time to time.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Volatile organic compounds ( or ‘ VOCs ’ )	are	be	Plur	chemical	cop	Volatile organic compounds (or ‘VOCs’) are carbon-based chemicals which easily become vapors or gases.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	pilgrims or strangers	rest	rest		rest	acl	The word "hospice" is believed to be Medieval French from a Latin word meaning a shelter or place for pilgrims or strangers to rest.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	App Store Optimization or ASO	is	be	Sing	optimization	cop	App Store Optimization or ASO is the Search Engine Optimization for App Store.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	FitGirl or merc213	think	think	Plur	think	acl:relcl	In the near future, it might not matter what FitGirl or merc213 think about the game demos, piracy, or the presence of DRM.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Halloween - themed pencils or small toys	add	add	Plur	add	root	Halloween-themed pencils or small toys add allergy-free fun to a party and best of all, everyone can enjoy them.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	file	aux	Similarly, if you want to make an unhappy customer happy again, data that tells you how many sales you’ve made to the customer, how many complaints he or she has filed, how long he or she has been a customer and so on can give you the information you need to find out what’s really irking the customer and insight into how to repair the relationship.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	individuals or groups	make	make	Plur	make	advcl	Behavioral economics is the examination of how psychological, social, and emotional factors often conflict with and override economic incentives when individuals or groups make decisions.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an individual or organization	recognize	recognize		recognize	csubj	It can be difficult for an individual or organization to recognize, in the moment, what is preventing adoption of new technologies and design paradigms, as these forces often seem invisible.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Bad government ( or even less - than - perfect government )	does	do	Sing	happen	aux	Bad government (or even less-than-perfect government) doesn’t just happen.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The no trespassing or ( human ) interference	refers	refer	Sing	refer	root	The no trespassing or (human) interference refers to the site at the summit.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	nurses or doctors	have	have	Plur	have	acl:relcl	Some had these masks that nurses or doctors have, but that is not enough.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Personal Pronoun	Sing	Not Personal Pronoun	Something or someone	is	be	Sing	make	aux	Something or someone is making public buildings disappear, and no one in authority seems to have any idea why or how.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Busy cafeteria type locations or theaters and arenas	need	need	Plur	need	root	Busy cafeteria type locations or theaters and arenas need a lot of product ready to sell.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your TV or AV receiver	supports	support	Sing	support	advcl	The SX detects when your TV or AV receiver supports Dolby Digital and 'passes through' the audio unaltered as required by Dolby.	c4-train.00001-of-01024_parsed_xad.conllu
PP	True	False	Plur	Not Pronoun	Plur	Not Pronoun	either drivers or bicyclists	take	take	Plur	take	advcl	Accidents with cars happen – and can be deadly – when either drivers or bicyclists take liberties with traffic laws.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Flat roofs or multi story and steep pitched commercial roofing	is	be	Sing	specialty	cop	Flat roofs or multi story and steep pitched commercial roofing is our specialty.	c4-train.00001-of-01024_parsed_xad.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	The game of chess -- or at least its earliest precursors , which were played in China and Persia -	has	have	Sing	exist	aux	The game of chess--or at least its earliest precursors, which were played in China and Persia--has existed for nearly 1500 years.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A lightweight , cheap and small power adapter ( or plug adapter )	changes	change	Sing	change	root	A lightweight, cheap and small power adapter (or plug adapter) changes the shape of the plug on your hair straighteners to slot into a power outlet found in Comoros, but a more expensive and heavier power converter will convert a 220 volt Comorian power outlet to work with non-220 volt hair straighteners.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the sand or rubber infill	is	be	Sing	work	aux	It's a duty of care for the keeper of the artificial surface to regularly maintain the pitch with a drag brush to ensure the sand or rubber infill is working correctly and the surface is suitable for play.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Fruits or vegetables	are	be	Plur	source	cop	Fruits or vegetables are a better source of nutritional value than eggs, milk and other dairy products.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Solar shades or tinted glass	are	be	Plur	idea	cop	Solar shades or tinted glass are a good idea too, especially if your windows are south-facing.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	He or she	oversees	oversee	Sing	oversee	root	He or she oversees governance and policy setting, with a focus on mission, direction, priorities and evaluation.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	He or she	wants	want	Sing	want	root	He or she really wants to be a direct service volunteer.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	business or leisure	brings	bring	Sing	bring	advcl	We're here to make your trip a success, so whether business or leisure brings you to Minden, LA, our hotel offers you the quality amenities that help you feel at home.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	all Information provided on the Site or any other material accessed through the Site including via any Linked Web Site	is	be	Sing	information	cop	You accept that all Information provided on the Site or any other material accessed through the Site including via any Linked Web Site is general information about ISKCON, Mayapur and is not in the nature of advice.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your house or home in Dalkeith	needs	need	Sing	need	ccomp	Do you need to ensure that your house or home in Dalkeith needs to be cleaned and to be in pristine condition?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The galestro or good clay	gives	give	Sing	give	root	The galestro or good clay gives good drainage.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the abuser ( or his lawyer )	has	have	Sing	make	aux	2. Interim: An Interim Order of Protection can be granted if the abuser (or his lawyer) has made an appearance in court and has also been notified of victims court date.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	CMR and / or customer	gathers	gather	Sing	gather	root	CMR and/or customer gathers claim associated cost and processes an invoice.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the top guy ( or gal )	does	do	Sing	come	aux	It leads me to think that all of us – me especially - are perhaps a bit too quick to assume the CEO is solely responsible for leadership, and all too quick to criticize when the top guy (or gal) doesn't come through.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your Farmington Hills home or business	Is	be	Sing	face	aux	Is your Farmington Hills home or business facing a condition of wet carpet, wet ceilings or wet walls due to an unexpected intrusion of water?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Dad ( or is his family )	apply	apply	Plur	apply	advcl	When Dad (or is his family) apply for Medicaid, he will be accepted on Medicaid and it will pay for his stay in the nursing home.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a friend	Do	do	Sing	own	aux	Do you or a friend own a vacation home or timeshare you can offer for a getaway?	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	one or more of these things	are	be	Plur	recur	aux	No one should know your dog better than you, but if one or more of these things are recurring in your dog, please take them to a licensed veterinarian as soon as possible.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	requires	require	Sing	require	advcl	Employment rehabilitation if he or she requires support to go back to work.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	The beginnings or endings of relationships	are	be	Plur	what	cop	The beginnings or endings of relationships are frequently what bring people to therapy: births, deaths, divorce, separation or relocations can also be important in what brings the therapy relationship to an end.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the smell or lack of smell in this product	is	be	Sing	concern	cop	If the smell or lack of smell in this product is of great concern to you, we suggest you first order a sample.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a parent or guardian	believes	believe	Sing	believe	advcl	If a parent or guardian believes Wander Pip has personally identifiable information of a minor under age 16, please contact me in order to remove this information as soon as possible.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The REPU system or REPU , abbreviated from the English word ‘ reputation , ’	is	be	Sing	system	cop	The REPU system or REPU, abbreviated from the English word ‘reputation,’ is a decentralized blockchain technology-based rating and feedback system, which allows you to rethink the way social networks are perceived.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Pronoun	Monster Hunter Generations Ultimate or World	Is	be	Sing	point	cop	Is Monster Hunter Generations Ultimate or World a Better Entry Point?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Low - lying cerebellum or chiari	accompany	accompany	Plur	accompany	root	Low-lying cerebellum or chiari accompany tonic pupil?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your school or school	offers	offer	Sing	offer	acl	On the off chance that your school or school offers a drivers instruction course, take the class and let your insurance organization know.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A single person or an executing agency if we talk about a system	does	do	Sing	have	aux	A single person or an executing agency if we talk about a system does not have the expertise to exercise the various specialized interventions for problems layered with complexities - design development, skill up-gradation, technology support, marketing, finance and infrastructural support.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your doctor or nurse	takes	take	Sing	take	acl	The blood pressure cuff is worn round the arm in the same manner as when your doctor or nurse takes your blood pressure.	c4-train.00001-of-01024_parsed_xad.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	Reality TV or Entertainment gossip shows	are	be	Plur	fare	cop	It may be that Reality TV or Entertainment gossip shows are very lightweight fare for someone who aspires to directing a great American drama, or world changing documentaries.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a component , or part of a component ,	needs	need	Sing	need	advcl	If a component, or part of a component, needs to be bumped up in a certain context, you can simply increase the font size of the component and everything inside will scale with it!	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	whose work or lifestyle	brings	bring	Sing	bring	acl:relcl	People who are more likely to contract ringworm are those under 15 years of age and those whose work or lifestyle brings them into contact with other, potentially infected, people.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Civility , or lack of it	is	be	Sing	get	aux	Civility, or lack of it, is getting a lot of attention lately.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	T - Mobile or Sprint	do	do		do	acl	“We see no need for T-Mobile or Sprint to do anything as a result of (AT&T’s) announcement and instead to keep doing what they are doing and that’s steal share from AT&T and Verizon,” Cowen and Company analyst Colby Synesael said in a client note.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A domain extension or a domain suffix	is	be	Sing	Domain	cop	A domain extension or a domain suffix is a Top-Level Domain (TLD) which used at the end of a domain name.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the HTTP or https	is	be	Sing	protocol	cop	Second is a Domain Name, a physical address of your website, and the third one is a sub-domain that is www, which is an optional sub-domain, and the HTTP or https is a protocol.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Gen Z ( aged 15 to 19 ) , or the ' Pivotal Generation '	want	want	Plur	want	root	The Pivotal Generation: Getting to Know Gen Z The Pivotals: Getting to Know Gen Z Gen Z (aged 15 to 19), or the 'Pivotal Generation', want to work for success, believe that equality is non-negotiable and respect brands that portray reality honestly – according to a report from US marketing consultancy FutureCast and American ad agency Barkley.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	needs	need	Sing	need	root	In order for a child to become better at the subject, he or she needs practice and up till a point, most parents believed that this practice could be provided by home assignments.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Cub Master or designated Leader	register	register		register	ccomp	We ask that the Cub Master or designated Leader register everyone in the pack (both Youth and Adult).	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Soft linen napkins or ones made from vintage French grain sacks	are	be	Plur	accent	cop	Soft linen napkins or ones made from vintage French grain sacks are the quintessential accents for a chic country place setting.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the event or client	is	be	Sing	what	cop	We guarantee stellar customer service, no matter what the event or client is.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your office or home	is	be	Sing	area	cop	If your office or home is in a reduced tight generating area and also you do not think a dumpster can be brought to it, think again.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your organization or business	needs	need	Sing	need	acl:relcl	Our full-service digital marketing company offers everything your organization or business needs to build a solid online foundation.	c4-train.00001-of-01024_parsed_xad.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	The product or products you decide to become an affiliate for	need	need	Sing	need	root	The product or products you decide to become an affiliate for need to be those that you will be proud to have your company name attached to.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	tribes , or sub - tribes ,	go	go	Plur	go	advcl	When tribes, or sub-tribes, go beyond friendly competition into the realm of hostility, such factors as logic and enlightened self-interest tend to become buried under layers of jingoism and rhetorical smoke.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	those microwaveable hashbrown patties or bean and cheese taquitos from trader Joe ’s	call	call	Plur	call	root	Sometimes those microwaveable hashbrown patties or bean and cheese taquitos from trader Joe’s just call to me.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Immigration or Migration	is	be	Sing	term	cop	Immigration or Migration is a broad term that covers movement of people from one place to another.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	grows	grow	Sing	grow	advcl	Aristotle can chat with the tyke, serving as a teacher, a caretaker, and yes, a friend, as he or she grows older and more inquisitive.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	one or two	have	have	Plur	try	aux	In any case, the births of my children and death of my mother since the completion of Christus, heightening that sense that we go whence we came and that the newborn are our clearest messengers of what the poet Yeats called 'the uncontrollable mystery', have served to humble the pages of this music in a way which critics (fiercely divided!) could not have equalled, though one or two have tried.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Facebook or any other social site	does	do	Sing	have	aux	Facebook or any other social site does not have be in the loop on everything.	c4-train.00001-of-01024_parsed_xad.conllu
