experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	other postdocs or PhDs within my team	have	have	Plur	have	root	Like me, other postdocs or PhDs within my team have the same goal.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Hazelnuts , or Filberts , as they 're also known ,	have	have	Plur	have	root	Hazelnuts, or Filberts, as they're also known, have a distinctively mild flavor.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the customers or the businesses they are trying to reach	value	value	Plur	value	acl:relcl	A lot of messaging used by B2B companies isn’t aligned with what the customers or the businesses they are trying to reach really value.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a site or its service provider	transfers	transfer	Sing	transfer	acl:relcl	Cookies are small files that a site or its service provider transfers to your computers hard drive through your web browser (if you allow cookies in your settings) that enables the sites or service providers systems to recognize your browser and capture and remember certain information.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	deep grooves or holes	forming	form		form	advcl	Any water that is able to seep in only serves to weaken the surface and under layer which will lead to deep grooves or holes forming.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Each member or guest who rents a golf cart	agrees	agree	Sing	agree	root	Each member or guest who rents a golf cart agrees to indemnify and hold Cherry Valley Club harmless of and free from any and all damages, judgment, court costs, attorney’s fees or other expenses incidental to and incurred by Cherry Valley Club which may arise from misuse of a golf cart by such member or guest.	c4-train.00002-of-01024_parsed_xaa.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	7 - 11s or a post office	are	be	Plur	way	cop	7-11s or a post office are the way to go to find ATMs (and ones that accept foreign cards at that).	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Dean or Debra Galloway	are	be	Plur	artist	cop	Dean or Debra Galloway are the artists maintaining this site.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the beakers or screens	crack	crack	Plur	crack	advcl	No one would deny that glass plays a central role in our lives, although glass does have a knack for disappearing into the background, at least until the beakers or screens crack and shatter.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	success or failure in life	is	be	Sing	matter	cop	For many, success or failure in life is all a matter of perspective.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a government or political subdivision	allows	allow	Sing	allow	acl:relcl	4. “Nonreligious assembly or institution” includes all membership organizations, theaters, cultural centers, dance halls, fraternal orders, amphitheaters and places of public assembly regardless of size that a government or political subdivision allows to meet in a zoning district by code or ordinance or by practice.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	“ Nonreligious assembly or institution ”	includes	include	Sing	include	root	4. “Nonreligious assembly or institution” includes all membership organizations, theaters, cultural centers, dance halls, fraternal orders, amphitheaters and places of public assembly regardless of size that a government or political subdivision allows to meet in a zoning district by code or ordinance or by practice.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	home	cop	With a personalized memory care plan, your loved one can feel like he or she is home, while being as happy as possible.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Your solicitor or licensed conveyancer	does	do	Sing	need	aux	Your solicitor or licensed conveyancer does not need to be based in Upminster, using The Conveyancing Network, we can put you in touch with a friendly, efficient legal professional to help you with your residential conveyancing needs, that can handle your property transaction from a distance.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	any mold or mildew	remains	remain	Sing	remain	advcl	If any mold or mildew remains, then repeat the steps, or hire 911restoration professionals to eliminate mold and mildew.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your child	is	be	Sing	have	aux	UPDATE July 2913: If you or your child is having a bad flare up never introduce a new natural product you may cause further reaction.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Programs or activities that foster team - building	provide	provide	Plur	provide	root	Programs or activities that foster team-building provide an upbeat and powerful team experiences that allow companies to compete effectively by enabling their employees at all levels to work as true team players.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A tuned radio frequency receiver ( or TRF receiver )	is	be	Sing	type	cop	A tuned radio frequency receiver (or TRF receiver) is a type of radio receiver that is composed of one or more tuned radio frequency (RF) amplifier stages followed by a detector (demodulator) circuit to extract the audio signal and usually an audio frequency amplifier.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	beauty or purpose	are	be	Plur	priority	cop	For GRAFT, the most relevant architects of our time are those who do not ask whether beauty or purpose are of higher priority, but try to combine both in equal measure.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Winter , or some other formidable foe	is	be	Sing	wait	aux	Winter, or some other formidable foe, is always waiting in the wings.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Detoxification , or detox ,	is	be	Sing	step	cop	Detoxification, or detox, is the first step to becoming sober and is a critical element of recovery.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Some colleges or universities	give	give	Plur	give	root	Some colleges or universities give admission on the basis of merit list.	c4-train.00002-of-01024_parsed_xaa.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	the other player or players	suffer	suffer	Plur	suffer	conj	In other words, the game offers a finite reward and to the extent that one player benefits, the other player or players suffer.	c4-train.00002-of-01024_parsed_xaa.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	corporate politics or an executive ’s ego	take	take	Plur	take	advcl	While individuals look to juries as potential sources of accountability, some institutions view them as sources to be blamed or as “cover” when corporate politics or an executive’s ego take priority.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	3	Sing	3	he or she	performs	perform	Sing	perform	ccomp	For example, carriers increase offers at predictable times during the run-up to trial: when the defendant is served; after the plaintiff is deposed (assuming he or she performs well); after dispositive defense motions are denied; and when experts are disclosed or retained.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or someone you know	holds	hold	Sing	hold	advcl	If you or someone you know holds a teaching certificate and would like to be on the school's substitute list, call the school at 610-262-9171.	c4-train.00002-of-01024_parsed_xaa.conllu
SP	False	False	Sing	Not Pronoun	Plur	1	The term ‘ Sue Gale ’ or ‘ us ’ or ‘ we ’	refers	refer	Sing	refer	root	The term ‘Sue Gale’ or ‘us’ or ‘we’ refers to the owner of the website.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a loved one	have	have	Sing	experience	aux	If you or a loved one have experienced an injury or disease after a vaccine injection, you most likely want to seek justice for your medical expenses, pain, and lost wages.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a loved one	is	be	Sing	suffer	aux	It’s important to act quickly if you or a loved one is suffering from a vaccine injury.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	no rhyme or reason	be	be		be	xcomp	In the list I don't see mydomain.mysite.com, but I do see mydomain.mysite.com/new_long_name.aspx .. also, I can't seem to make any sense as to what pages were cached when back when, or what pages seem to still show up in searches, but there appears to be no rhyme or reason.	c4-train.00002-of-01024_parsed_xaa.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	Energy - Partners™ , or its agents	do	do	Plur	assume	aux	Energy-Partners™, or its agents do not assume any liability, expressed or implied, for any consequences resulting from inappropriate, negligent or incorrect installation, application, use or adjustment of the product or circuit design or from the mismatch of the unit to a lamp.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the independents or any new entrants	make	make		make	xcomp	That is going to make things very difficult for the independents or any new entrants to make a go of ebook retailing.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	Not Pronoun	Plur	Not Pronoun	www.middlewayfoodworks.org and / or its licensors	own	own	Plur	own	root	Unless otherwise stated, www.middlewayfoodworks.org and/or its licensors own the intellectual property rights published on this website and materials used on www.middlewayfoodworks.org.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A ligament injury or tear	is	be	Sing	injury	cop	A ligament injury or tear is a relatively common sporting injury affecting the knee.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	homes or major roads	are	be	Plur	service	cop	These maps indicate the hexagonal areas without speeds of 50 Mbps download/10 Mbps upload for fixed broadband services; communities without high-capacity transport infrastructure; and where homes or major roads are without Long-term Evolution (LTE) mobile wireless service.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the story or poem	is	be	Sing	what	cop	What is the story or poem about?	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	sender or recipient	Do	do	Sing	need	aux	Do sender or recipient both need to have the account with that service, or one-off transfer can be done?	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or the warranty compan	loses	lose	Sing	lose	acl:relcl	This is the place you or the warranty compan loses me.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A DJ or musician	needs	need	Sing	need	root	A DJ or musician needs to use his gear as simply and as fast as he can.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the father or brother	is	be	Sing	suffer	aux	2.Family history: A man is at higher risk if the father or brother is suffering from this disease.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Plastic surgery rhinoplasty , or a nose job ,	is	be	Sing	what	cop	Plastic surgery rhinoplasty, or a nose job, is what we guess many celebrities have gotten done secretly.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	3	Sing	3	he or she	does	do	Sing	look	aux	Your Muse: Write about your muse — what does he or she look like?	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	no packers or meat processors	are	be	Plur	violate	aux	We respectfully request that the Grain, Inspection and Packers and Stockyards Administration (GIPSA) fully investigate this drastic change in price spread to ensure that no packers or meat processors are violating the Packers and Stockyards	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	any links provided or services mentioned on the Website	do	do	Plur	constitute	aux	Additionally, any links provided or services mentioned on the Website do not constitute any endorsement by Law Offices of Matthew E. Foreman, P.C.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the monetary policy tool ( or instrument )	is	be	Sing	base	cop	First, the monetary policy tool (or instrument) is the monetary base.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A Personal Identification Number or PIN	is	be	Sing	number	cop	A Personal Identification Number or PIN is a number that authorizes a transaction via an Emarat smart card.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	‘ Brexit ’ or the British decision to exit the European Union ( EU )	is	be	Sing	outcome	cop	‘Brexit’ or the British decision to exit the European Union (EU) is the outcome of a referendum held in the UK on June 23, where the ‘Leave’ vote won, 52 to 48 percent.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	this ‘ separation ’ or ‘ divorce ’	is	be	Sing	go	aux	By no means is this ‘separation’ or ‘divorce’ going to be immediate.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Note or the 6 Plus	are	be	Plur	device	cop	While I’m honestly used to a bigger phone these days – the Note or the 6 Plus are my go-to devices – this is phone is a great size and, because it is amazingly slim, it fits the hand and pocket well.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Sentiment analysis , or opinion mining ,	is	be	Sing	task	cop	Sentiment analysis, or opinion mining, is an NLP task that automates the recognition and understanding of the attitudes and opinions expressed in a human-generated text.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	What other files and or folders	are	be	Plur	C	cop	What other files and or folders are under C:\Program Files\CSS ?	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a " Glee Geek " or " Gleek "	is	be	Sing	fan	cop	For those that don't know, a "Glee Geek" or "Gleek" is an obsessive fan of Fox's hit show about high school singers, “Glee.”	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The Twinning and Remembrance idea or process	is	be	Sing	remembrance	cop	The Twinning and Remembrance idea or process is about Remembrance and Memory.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	3	Sing	3	he or she	requires	require	Sing	require	advcl	Each student should only have as much as he or she requires.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	execute	aux	The professor would have been filmed while he took the drug, cited by Life Circle as "the only reliable evidence he or she has executed the application by themselves and in full awareness".	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	The food items particles or possibly the muds and stains	go	go	Plur	go	root	The food items particles or possibly the muds and stains go into the depth from the fabric which becomes difficult to remove, otherwise washed immediately.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	The workers or employees	do	do	Plur	have	aux	The workers or employees don’t have to visit a class area to take the lesson or perhaps take a good exam.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	one or more of your IP address / domains	exists	exist	Sing	exist	ccomp	RBLCheck will check if one or more of your IP address / domains exists in the well-known Realtime Blackhole Lists (RBL).	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your company	is	be	Sing	face	aux	* 2. What is your biggest personal or company goal? * 3. What is the biggest issue you or your company is currently facing? * 4. Overall, how important is it to find a solution? * 5. Do you have any comments about how to improve our website or services to better serve your needs?	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	What significant event ( s ) and / or influence ( s )	have	have	Plur	help	aux	What significant event(s) and/or influence(s) have helped shape your present values and approach to life?	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	3	Sing	3	he or she	believes	believe	Sing	believe	ccomp	Imagine that a friend of yours has just told you that he or she believes that mass incarceration stems from bad people making bad choices.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	your guests and / or pets	cause	cause	Plur	cause	conj	We understand accidents happen, however, guests are financially responsible for damages that you cause, your guests and/or pets cause to Inn on the Harbor property and rooms, and accept full responsibility for resulting repairs, replacement, and loss of revenue.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	any huge spikes or dips in the interest and purchase behavior of kitchen sinks	be	be		be	xcomp	There's likely not going to be any huge spikes or dips in the interest and purchase behavior of kitchen sinks.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Padme or Leia	does	do	Sing	do	acl:relcl	That said, I would have trouble imagining either Anakin or Obi-Wan going into politics and doing what Padme or Leia does.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	True	False	Sing	Not Pronoun	Sing	Not Pronoun	either Anakin or Obi-Wan	going	go		go	ccomp	That said, I would have trouble imagining either Anakin or Obi-Wan going into politics and doing what Padme or Leia does.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Golden West College or GWC ,	is	be	Sing	college	cop	Golden West College or GWC, is a community college providing two-year associate of arts degrees, and lower-division classes transferable to other colleges and universities.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a monotonous drone or repetition	changes	change	Sing	change	acl:relcl	And scattered through all of his music those moments when a monotonous drone or repetition subtly changes notes and abruptly becomes a gulf of emotion.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Proton Pump Inhibitors , or PPIs ,	reduce	reduce	Plur	reduce	root	Proton Pump Inhibitors, or PPIs, reduce stomach acid by blocking the enzyme that produces the acids.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	Ms. Sugiyama , or you can call her “ Vivi ” ,	loves	love	Sing	love	root	Ms. Sugiyama, or you can call her “Vivi”, loves puti puti products and those stuffs were involved a world-shaking serious incident.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A typical essay writing assignment or a research paper	has	have	Sing	have	root	A typical essay writing assignment or a research paper has several key steps that all need to be accomplished before the paper can make a sturdy grade.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	3	Sing	3	he or she	meets	meet	Sing	meet	acl	In a case that illustrates the growing trend in class certification law to rigorously evaluate a plaintiff’s contentions that he or she meets the Rule 23 class certification criteria, the Third Circuit vacated the New Jersey District Court’s certification of a class involving run-flat tires (“RFTs”).	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A debt or a multiple debt from credit companies or consumer financing companies	is	be	Sing	pain	cop	A debt or a multiple debt from credit companies or consumer financing companies is a financially and mentally intolerable pain.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	one or both of the husband and wife	has	have	Sing	have	advcl	The problems are even more complicated if one or both of the husband and wife has/have a nationality other than Japanese.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	True	False	Sing	Not Pronoun	Sing	Not Pronoun	either action or performance	implies	imply	Sing	imply	ccomp	Considering his Pyramid model for clinical assessment, Miller argued “it may be reasonable to assume that either action or performance implies achievement of the more basic elements of the triangle” .	c4-train.00002-of-01024_parsed_xaa.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	a U.S. export prohibitions or a U.S. export license requirement	applies	apply	Sing	apply	advcl	Thus, if a U.S. export prohibitions or a U.S. export license requirement applies to your products, you are responsible for (a) maintaining full compliance with such prohibition or restriction in the course of conducting your own export operations (b) making your agents aware or such prohibition or requirement and insuring that your agents observe such prohibition or requirement in their conduct of export operations on your behalf, and (c) determining, transshipping or re-exporting your products while informing your customers of the export compliance obligations that apply to your products.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your child	feels	feel	Sing	feel	conj	Finally, if it’s all too much and you or your child feels overwhelmed, get help.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Sasaki , or ‘ Yasu ’ to those who know him	says	say	Sing	say	parataxis	I also look forward to discovering the agencies and thinkers who are shaping our industry’s future, and hopefully I’ll get to meet them at the festival in March,” says Sasaki, or ‘Yasu’ to those who know him.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the truck or maybe dumpster	pulls	pull	Sing	pull	advcl	As a substitute, you'll be able to inhale and exhale a sigh connected with relief once the truck or maybe dumpster pulls apart, knowing that your work is done.	c4-train.00002-of-01024_parsed_xaa.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	no immediate news or events	are	be	Plur	take	aux	Hence, the Double-Red strategy should be applied when no immediate news or events are to take place in the counter.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Mr. ( or Ms. ) Big Shot	show	show		show	ccomp	In this model the business team gets to say: "Ok, Mr. (or Ms.) Big Shot, show us what you can do and then we'll decide if you're going to work for us."	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	this glorification , or ‘ artification ’ , of glamour	does	do	Sing	amount	aux	So what does this glorification, or ‘artification’, of glamour amount to?	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	no Conservatives or Republicans	like	like	Plur	like	ccomp	Ben Shapiro says no Conservatives or Republicans like CNN :-D. This Is INSANE!	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	certain topics or objects	have	have	Plur	have	acl	Cultural sensitivity refers to the awareness that certain topics or objects have different perceptions and value in particular cultures.	c4-train.00002-of-01024_parsed_xaa.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	any degreaser or other chemicals	get	get	Plur	get	advcl	As always, I start with the engine shampoo, so if any degreaser or other chemicals get on the paint, I can go back and clean them later when I'm doing paint correction.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or a loved one	has	have	Sing	suffer	aux	If you or a loved one has suffered a serious injury after taking a dietary supplement that contained DMAA, you should contact our law firm immediately.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or a loved one	has	have	Sing	suffer	aux	If you or a loved one has suffered a serious injury after taking a dietary supplement containing DMAA, you should contact our law firm immediately.	c4-train.00002-of-01024_parsed_xaa.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	a certain elite class or even elite individuals	knowing	know		know	advcl	But this has nothing to do with a certain elite class or even elite individuals knowing better what is good for us collectively.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	3	Sing	3	he or she	does	do	Sing	do	advcl	The beneficiary will be able to enjoy the vintage Port and appreciate its extraordinary evolution at special occasions throughout life, maturing as he or she does."	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	many religious leaders or my religious friends	seem	seem	Plur	seem	acl:relcl	Not quite the same as what many religious leaders or my religious friends seem to understand, but I’ve decided to go with what Moses says.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a break - in or burglary	has	have	Sing	occur	aux	Premier Security London boarding up and door replacement services in Amersham HP6 are most commonly requested after a break-in or burglary has occurred.	c4-train.00002-of-01024_parsed_xaa.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	“ Thrones ” or “ Seraphims ”	remains	remain	Sing	remain	conj	The small relief figures in white above the saints are the Zodiac signs, and the flaming heads are angels I believe, whether “Thrones” or “Seraphims” remains to be determined.	c4-train.00002-of-01024_parsed_xaa.conllu
