experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	no cancer or other ill - health clusters around the area	be	be		be	xcomp	The blog is inclined to believe the current situation is probably safe – there was remediation some 30 years ago; what’s left is covered by half a metre of soil; there appear to be no cancer or other ill-health clusters around the area; and the garden has flourished.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A man or the Head of the Family	is	be	Sing	sit	aux	A man or the Head of the Family is sitting on a sofa in his living room reciting Qur’an.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Pronoun	Forward , or negative rake ,	helps	help	Sing	help	root	Forward, or negative rake, helps hold the bow of the boat down.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	An organizer or planner	completes	complete	Sing	complete	root	An organizer or planner completes a simple Excel spreadsheet with five fields and provides the file to snöball.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an organizer or planner	needs	need	Sing	need	acl:relcl	All an organizer or planner needs to do is complete a simple Excel spreadsheet and snöball handles the rest of the outreach and content creation.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	most or all of the Olympus M4:3 bodies	have	have	Plur	have	root	On the other hand, most or all of the Olympus M4:3 bodies have IBIS.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the technology or science	does	do	Sing	have	aux	Actually the technology or science does not have to be that particularly advanced to appear to be magic.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	governments or financial institutions	acknowledge	acknowledge	Plur	acknowledge	advcl	Eventually, once governments or financial institutions acknowledge bitcoin as legal tender, an asset, or at least something that comes close to being a medium of exchange, banks and other established financial institutions may facilitate cryptocurrency transactions.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Personal Pronoun	Sing	Not Personal Pronoun	someone or something	is	be	Sing	try	aux	While a firewall is there to keep out malicious attacks, an IDS is there to detect whether someone or something is trying up to suspicious or nefarious activity.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	your baby or children	are	be	Plur	smile	aux	Moments where your baby or children are lovingly smiling at you, clapping with glee or ecstatically running through a field are moments we want to capture.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Trick or Treating	equals	equal	Sing	equal	root	Trick or Treating equals unlimited candy!	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your child	has	have	Sing	have	advcl	If you or your child has food allergies, Disney offers Teal bags and coins to trade in for special candy, stickers, and trinkets.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A tightly bundled - up man ( or maybe it 's a woman -- it 's really hard to tell with all the layers )	holds	hold	Sing	hold	root	A tightly bundled-up man (or maybe it's a woman -- it's really hard to tell with all the layers) holds the door open, and I barrel through it.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	our spouse , or other members of our family ,	serve	serve	Plur	serve	advcl	We may extend the picture to involve others so that our spouse, or other members of our family, also serve our reputation and honour.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A Double IPA or an Imperial IPA	is	be	Sing	beer	cop	A Double IPA or an Imperial IPA is a beer that loads on the hops, and typically to balance these hops you have to add to the malt as well to keep the beer drinkable.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The Obon or Bon Festival in Japan	is	be	Sing	festival	cop	The Obon or Bon Festival in Japan is a three-day Buddhist festival honoring the spirits of ancestors through dance and music.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Celebrity home 's or former home 's	are	be	Plur	residence	cop	Celebrity home's or former home's are private residences which may be viewed from the outside by driving by these properties.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your spouse or partner	does	do	Sing	handle	aux	If you're married, how does your spouse or partner handle your incontinence?	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the man or artist they admire	has	have	Sing	help	aux	“So people might feel something deeply because the man or artist they admire has helped them know their feelings, and then suddenly he has a stain [against his name] and they just don’t want to know about it because they would have to forget how this person helped them connect with these feelings,” she explains.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Tummy - tuck surgery or abdominoplasty	tightens	tighten	Sing	tighten	root	Tummy-tuck surgery or abdominoplasty tightens and reshapes the abdominal area, helping to achieve a more aesthetically pleasing, slimmer overall appearance.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your driver or engineer	works	work	Sing	work	advcl	If your driver or engineer works 8 hours per day and starts at 07:00h, you should enter 07:00h as the earliest start time and 15:00h as the latest end time.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a block party or a carnival in progress	be	be		be	xcomp	"Down Neck" was a great place to go as there always seemed to be a block party or a carnival in progress.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a Naturopath or Dietitian	is	be	Sing	option	cop	Sometimes a Naturopath or Dietitian is another option, but until then, feel free to browse through our product catalogue.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Injuries to her throat or effects rendering her mute	rob	rob	Plur	rob	parataxis	- Power Loss: Injuries to her throat or effects rendering her mute rob Black Canary of her canary cry.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	PARCC or “ Partnership for Assessment of Readiness for College and Careers ”	is	be	Sing	set	cop	PARCC or “Partnership for Assessment of Readiness for College and Careers” is a set of assessments that measure whether students are on track to be successful in college and their careers.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	track	cop	Your student’s overall score (out of a possible 850) and performance level (1-5) gives a quick glimpse of whether he or she is on-track with grade-level expectations.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Cefnllys ( or Cefn - Llys )	is	be	Sing	village	cop	Cefnllys (or Cefn-Llys) is a deserted village east of Llandrindod Wells.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	negligence on the part of your neighbor or criminal acts on his part	infringe	infringe	Plur	infringe	advcl	If negligence on the part of your neighbor or criminal acts on his part infringe on your property rights then you have a legitimate grievance to take up with your neighbor in court, but then again it would be in my opinion criminal of the government to deprive a land owner of his property rights.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an asylum seeker or refused asylum seeker	requests	request	Sing	request	advcl	This chapter sets out what must be considered when an asylum seeker or refused asylum seeker requests care and support from social services and when a local authority will be able to refer such a person to the Home Office for asylum support.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your car or truck	needs	need	Sing	need	advcl:relcl	Auto body Repair, Paint, Frame, Electrical, oil changes, tune-ups, brakes, A/C, Diagnostics, & transmission flush, you can count on us - wherever and whenever your car or truck needs help.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the engine timing belt or chain	has	have	Sing	break	aux	Computerized ignition systems tend to cause a no-start condition when ignition timing not as the engine control module expects, because the camshaft position sensor has failed or the engine timing belt or chain has broken or jumped time.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your family	need	need	Sing	need	acl:relcl	Enabling Wi-Fi service, which we include with your plan, from a central location in your home allows you to browse, send, upload or download virtually anything you or your family need.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	flooding or water leaks	cause	cause	Plur	cause	advcl	We are water removal and cleanup specialists and are ready to service your Port Angeles home when flooding or water leaks cause water damage.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	students ( or adults )	learn	learn	Plur	learn	advcl	Teachers need substantial training in this pedagogy in order to understand that once students (or adults) learn how to recognize, develop, and extend patterns of increasing complexity, they will be able to use these keys to unlock numerous problems previously untouchable due to their strategically hidden solutions, usually embedded in some complex algorithm.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	needs	need	Sing	need	root	When a person has suffered from an automobile accident, he or she needs the assistance of a highly skilled, experienced attorney.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your builder or developer	make	make		make	advcl	No longer do you need to sit around, forking out rent while you wait for your builder or developer to make significant progress.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Dengue or break - bone fever	is	be	Sing	disease	cop	Dengue or break-bone fever is a mosquito-borne disease which threatens almost three billion people.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	Weathered , white - washed wood or milky vintage metalics	work	work	Plur	work	root	Weathered, white-washed wood or milky vintage metalics work well for furniture pieces.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a dog or cat	chewing	chew		chew	acl	The very act of a dog or cat chewing (or even growling and “attacking” ) raw meat and bone is thought to release endorphins and digestive processes which cause more effective digestion of food.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	the content or words	become	become	Plur	become	ccomp	It can mean though that the content or words become an afterthought – and this is what happened with Sun Healthcare’s website.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	No securities exchange or affiliated service provider	has	have	Sing	review	aux	No securities exchange or affiliated service provider has reviewed or accepts responsibility for the adequacy or accuracy of the content of this website.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	meets	meet	Sing	meet	acl:relcl	Marketing, fees, staffing could all be working well, but if the attorney isn’t connecting with and retaining the people he or she meets with, there is an opportunity to increase revenue without doing anything differently, except attorney training.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Pronoun	any Custom or tax	apply	apply		apply	csubj	Is any Custom or tax apply on Products which will we import from Amazon?	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	try	aux	Hence, the next time, even if someone looks to be friendly in conversation and having relaxed facial expressions along with proper hand movements, but crossed leg position, please note that the person is not as confident or relaxed as he or she is trying to appear.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	tends	tend	Sing	tend	advcl	Rubbing the Eyes When a person lies, he or she tends to look away from the person being lied to.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	parents or students who want a good education	seek	seek	Plur	seek	advcl:relcl	Intelligibility: This is why parents or students who want a good education seek out Elite schools, so they can get a leg up on college and to find out if they can meet the expectations of the future.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you , or someone you know	need	need	Sing	need	advcl	If you, or someone you know, need a friendly ear to talk to about anything at all, please call Lifeline on 13 11 14.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	any additional fees or charges	apply	apply	Plur	apply	ccomp	They will determine if any additional fees or charges apply.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	any additional fees or charges	apply	apply	Plur	apply	ccomp	They will determine if any additional fees or charges apply.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	any additional fees or charges	apply	apply	Plur	apply	ccomp	They will determine if any additional fees or charges apply.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Madhubani painting or Mithila painting	is	be	Sing	form	cop	Madhubani painting or Mithila painting is an antique art form practiced by women of all castes and communities in the milthila region of Bihar.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	understands	understand	Sing	understand	ccomp	Talk to your insurance provider and make sure he or she thoroughly understands your plans for your aircraft.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	130 or so	rise	rise	Plur	rise	parataxis	His sculpture garden in Aguanga boasts at least 350 pieces; 130 or so rise out of the desert in Borrego Springs.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	the incidence of abuse or the circumstances under which it takes place in any way	differ	differ	Plur	differ	ccomp	While it may be true that some ISKCON children presently face abuse, there is no reason to assume that the incidence of abuse or the circumstances under which it takes place in any way differ from mainstream societies.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your track or album	goes	go	Sing	go	acl:relcl	Enter the date at which your track or album goes live on Spotify.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	bills	bill	Sing	bill	advcl:relcl	You can’t afford to hire a lawyer who won’t clarify how he or she bills.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	arm warmers or long sleeves	are	be	Plur	idea	cop	As breathable as any other similar jacket will be but does get a bit damp against bare arms so arm warmers or long sleeves are a good idea if you're out for a whole.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Advertisers or other companies	do	do	Plur	have	aux	Advertisers or other companies do not have access to DREAM CARS II INCâ€™s cookies.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the website or channel	is	be	Sing	make	aux	It’s not like the website or channel is making us rich [laughs].	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	References or external links to products , processes , opinions or services ( by trade name , trademark , manufacturer , or otherwise )	constitute	constitute	Plur	constitute	root	References or external links to products, processes, opinions or services (by trade name, trademark, manufacturer, or otherwise) in no way constitute an endorsement, approval, or recommendation by the Owners of any product, process, opinion, service, individual or organization.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Possession of keys and deeds , or official registration as refugees with the U.N.	have	have	Plur	succeed	aux	Possession of keys and deeds, or official registration as refugees with the U.N. haven't succeeded.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a family member	has	have	Sing	have	advcl	If you or a family member has PTSD, it does not have to negatively impact the holidays.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	who 's father or mother	is	be	Sing	member	cop	The award is available to any graduating High School senior, who's father or mother is an active member of the Baldwin Fire Department, or if deceased, was an active member at the time of his/her death.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a good Christian or a mature person	does	do	Sing	do	acl:relcl	As such it is not necessarily a bad thing, something that a good Christian or a mature person never does.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the milk or cream	has	have	Sing	cool	aux	I have and use thermometers made by THERMOWORKS, including a Thermapen, Original Oven Thermometer, the RT 600C (new), the RT301 (inexpensive), and the Eco Temp Digital Alarm which I use for handling dairy, with the alarm set for the highest temp I need and also for the lowest temp so I know when to add the cultures after the milk or cream has cooled to the specific temp.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Real property or personal property	depends	depend	Sing	depend	root	Real property or personal property depends on agreement?	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	too little or too much ,	disrupts	disrupt	Sing	disrupt	parataxis	Stress acts like a drug that changes the chemistry of our brains, but like many drugs, it only works at the right dose – too little or too much, disrupts the brain.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Personal Pronoun	UNK	Not Personal Pronoun	who or what	is	be	Sing	culprit	cop	So who or what is the culprit that causes professional and personal relationships to suffocate due to an overload of rules that ultimately sap our energy and enthusiasm?	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your Citroen or Vauxhall	requires	require	Sing	require	advcl	Whether your Citroen or Vauxhall requires a service, repair, MOT or an update, we have a dealership within reach.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Personal Pronoun	little or nothing	has	have	Sing	happen	aux	When foreign newspapers or U.S. websites or international whistleblowers make secrets known, the U.S. corporate media tends to behave as if little or nothing has happened, except perhaps to report on efforts to prosecute whistleblowers.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	A week or two in a foreign country on vacation	does	do	Sing	give	aux	A week or two in a foreign country on vacation does not give you a feel for what life is like living there, even if you go to the same place every year.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Sneakers or football cleats	do	do	Plur	work	aux	Sneakers or football cleats do not work.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	lives	live	Sing	live	advcl	A palliative caregiver intends to care for the patient for as long as he or she lives.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	A doctor , or sometimes two ,	approves	approve	Sing	approve	root	A doctor, or sometimes two, usually approves this type of health care under extreme circumstances and only when the patient has six months or less to live.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a certified doctor or nurse	is	be	Sing	perform	cop	The only requirement is that a certified doctor or nurse performs the hospice care.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	receives	receive	Sing	receive	root	While the patient remains at home, he or she receives continuous care between eight and 24 hours a day.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or someone you love	is	be	Sing	struggle	aux	The key factor of all if you or someone you love is struggling with a drug abuse or addiction concern is to get it resolved right away, make calls and talk to trained addiction specialists and have an evaluation and rehab options to ensure the greatest potential for a recovery.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	objects or features that protrude from the seafloor	create	create	Plur	create	root	For example, objects or features that protrude from the seafloor create a strong return (creating a light area) and shadows from these objects create little or no return signal (creating a dark area).	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Ethan or Elisha	are	be	Plur	name	cop	Ethan or Elisha are distinctly Biblical names.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your product or service	offers	offer	Sing	offer	acl:relcl	We will build a clear picture for them of the relevant benefits that your product or service offers.	c4-train.00001-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Pictures or words	do	do	Plur	do	root	Pictures or words never do justice to a place like this.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the liable hotel owner or manager	takes	take	Sing	take	ccomp	Your legal ally can help you get justice and financial compensation by ensuring the liable hotel owner or manager takes responsibility for what you endured while on hotel property.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	1	you or I	have	have	Sing	despise	aux	Is there anybody within the body of Christ whom you or I have despised?	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	violate	aux	When an employer fires an employee in an effort to silence allegations of the employer’s own wrongdoing, he or she has violated the law.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	An internet advertising and marketing device ( or else called an online marketing device )	is	be	Sing	anything	cop	An internet advertising and marketing device (or else called an online marketing device) is anything that you can make use of to improve your web marketing initiatives as well as outcomes.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a bike or a horse	help	help		help	acl:relcl	One thing I remember that I did was a pair of good walking shoes since there are times that a bike or a horse wont help.	c4-train.00001-of-01024_parsed_xac.conllu
SS	True	False	Sing	Not Pronoun	Sing	Not Pronoun	either a gas burner or an electric element	heats	heat	Sing	heat	root	Once inside the unit, either a gas burner or an electric element heats the water.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the flame or electric element that heats the water	turns	turn	Sing	turn	conj	Once you turn whatever hot water fixture you were using off, the cold water stops flowing into the tankless water heater and the flame or electric element that heats the water turns itself off and stays off until it is needed again.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your son or daughter	decides	decide	Sing	decide	advcl	If your son or daughter decides to take a really long shower or your spouse decides to wash a large load of clothes in the wash machine, the hot water is emptied from the storage tank and the new water that takes its place has to have time to heat.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Father and / or Sister	are	be	Plur	jerk	cop	My only conclusion: you never thought it was true to begin with; or, you have a favorite sin the Church teaches against and crazy priests and cranky nuns is as good an excuse as any to leave and pursue your sin all the while feeling justified b/c Father and/or Sister are such jerks.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a physician or legal nurse consultant	review	review		review	advcl	You must have a complete copy of the medical record for a physician or legal nurse consultant to review!	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	PrintMojo or T - ShirtMojo	is	be	Sing	who	cop	5. Who is PrintMojo or T-ShirtMojo?	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	PPC or Pay Per Click advertising	works	work	Sing	work	root	PPC or Pay Per Click advertising works on a simple premise, that you pay a fee each time someone clicks on one of your ads.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The Van der Graaf Drum Motor or motorized pulley	houses	house	Sing	house	root	The Van der Graaf Drum Motor or motorized pulley houses all components internally, eliminating the need for external components like motor, gearbox, chain, chain guard and pillow block bearings.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The papaya or mamón ( Carica papaya )	is	be	Sing	fruit	cop	The papaya or mamón (Carica papaya) is the fruit of a tree native to Central America that was quickly adopted in the Old World; like the pineapple, it is now grown in many countries on different continents.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a logo or brand colour scheme	is	be	Sing	go	aux	Our graphic designers are also have a great deal of experience in creating inspiring brand ideas for when a logo or brand colour scheme isn’t going to work well online or for a logos thats look tired or out of date.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Expanded Polystyrene or EPS	is	be	Sing	core	cop	At the core of the board is Expanded Polystyrene or EPS.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the funeral or memorial	is	be	Sing	time	cop	While the skillful liturgist must be aware of and attentive to communal values, the funeral or memorial is no time to flesh out doctrinal and theological debates.	c4-train.00001-of-01024_parsed_xac.conllu
