experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the cushions ’ firmness or the overall feel of the piece	is	be	Sing	like	aux	You may discover that the cushions’ firmness or the overall feel of the piece is not like it as much when you actually see it.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	The two paradigms or orientations that inform qualitative research , namely Interpretivism and Critical Theory ,	place	place	Plur	place	root	The two paradigms or orientations that inform qualitative research, namely Interpretivism and Critical Theory, place emphasis on seeking understanding of the meanings of human actions and experiences, and on generating accounts of meaning from the viewpoints of those involved.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Different qualitative research traditions or genres	promote	promote	Plur	promote	root	Different qualitative research traditions or genres promote specific strategies for data analysis.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	each university or college	has	have	Sing	have	ccomp	Be aware that each university or college has a different system regarding dissertation committee structure and the process of preparing for that structure.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Personal Pronoun	One , or that which ,	blows	blow	Sing	blow	parataxis	1 :One who, or that which, blows a horn.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Personal Pronoun	One , or that which ,	blows	blow	Sing	blow	root	One who, or that which, blows a horn.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Personal Pronoun	One , or that which ,	blows	blow	Sing	blow	root	One who, or that which, blows a horn.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	does	do	Sing	need	aux	You don't need an appointment and if you have an agent, he or she doesn't need to be with you.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	imagine	aux	Instead of using brush and paint and canvas, the digital artist uses the virtual easel of the screen and the tools available to manipulate bitmap files (Adobe Photoshop, Painter, etc.) to construct the image he or she is imagining.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	The Museum of Art & History ( 11 – 5 Tue – Sun , 11 – 7 Thu ; $ 4 ; 705 Front St. ; 831/429-1964 or www.santacruzmah.org)	presents	present	Sing	present	root	The Museum of Art & History (11–5 Tue–Sun, 11–7 Thu; $4; 705 Front St.; 831/429-1964 or www.santacruzmah.org) presents the area’s past, with exhibits on Ohlone Indian life and the tenacious bootlegging industry, plus contemporary art.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your family	need	need	Sing	need	acl:relcl	Enabling Wi-Fi service, which we include with your plan, from a central location in your home allows you to browse, send, upload or download virtually anything you or your family need.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or someone you know	wants	want	Sing	want	advcl	If you or someone you know wants to begin a fitness program and doesn’t know where or how to start, or maybe what you are doing is not working or is causing you injury and/or pain; it’s time we meet and get you started on some fitness habits that work.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	their marriage or relationship	is	be	Sing	experience	aux	It may be that some have decided some time ago that their marriage or relationship is experiencing difficulties, but delayed making any decisions before the New Year so as not to ruin Christmas for the family or upset the children.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	acquisitions or joint - ventures with start - ups	has	have	Sing	have	root	At horizon 3, acquisitions or joint-ventures with start-ups has the lengthiest payback period and lowest chance of success, which Hugh estimates, averages at 10%.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the application ( or server )	writes	write	Sing	write	acl	Every time the application (or server) writes to an area that was never written before (and therefore not really provisioned) the storage system will claim a new chunk of data somewhere in the pool and maps it to the application.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your Century Village home or business	Has	have	Sing	undergone	aux	Has your Century Village home or business undergone water damage or a flood?	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your residence or business	has	have	Sing	have	acl:relcl	We want to help preserve not only the premises itself but all that’s in it—personal property or business inventory and machines…whatever your residence or business has inside it that’s been damaged by the water.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	RAM , or random access memory ,	stores	store	Sing	store	root	RAM, or random access memory, stores the code and instructions for Seneca niagara casino promotions X … Oct 29, 2010nbsp;0183;32;Does your Mac need more memory.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	believes	believe	Sing	believe	advcl	If a customer believes the price of an underlying asset will be above a certain price at a set time, the trader buys the binary option, but if he or she believes it will be below that price, they sell the option.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The interest level , or commitment level ,	is	be	Sing	metric	cop	The interest level, or commitment level, is the most important metric we are tracking.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Each flower or plant	has	have	Sing	have	root	Each flower or plant has a special place in the arrangement and means something different.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	The tallest branches or flowers	stand	stand	Plur	stand	root	The tallest branches or flowers stand for the heavens.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	does	do	Sing	do	advcl	Once a child has a waiver on file with QALL and our District Administrator, he or she will be eligible to play in QALL as long as he or she does so continuously, year-to-year, and that player's younger siblings will also be eligible for a waiver to play in QALL.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	1	you or I	delete	delete	Sing	delete	advcl	Before you or I delete this, maybe we could make this a good list of tutorial videos/levels?	c4-train.00002-of-01024_parsed_xab.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Medical Payments or Personal Injury Protection	provides	provide	Sing	provide	root	Medical Payments or Personal Injury Protection provides reimbursement for medical treatment suffered by you and/or your passengers during an accident.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Pronoun	Single or spouse	does	do	Sing	play	aux	Single or spouse doesn’t play?	c4-train.00002-of-01024_parsed_xab.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	the words ‘ yes ’ , or ‘ yes , this is the self ’	appears	appear	Sing	appear	advcl	If the words ‘yes’ , or ‘yes, this is the self’ appears, go back to Step 1 and see the words across the forehead and repeat step 1.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the mental image or outline	does	do	Sing	know	aux	the mental image or outline does not know anything about "fear".	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the anchoring device or a major component of the device	sliding	slide		slide	advcl	anchor pullout strength—the strength corresponding to the anchoring device or a major component of the device sliding out from the concrete without breaking out a substantial portion of the surrounding concrete.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a media company or a magazine or a TV	does	do	Sing	deliver	aux	It will mean if a media company or a magazine or a TV doesn’t deliver the audiences interested in the advertisement companies’ product, then the advertising company won’t be buying more TV ads.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	feels	feel	Sing	feel	advcl:relcl	Every treatment for brain stem glioma can cause side effects or changes to your child’s body and how he or she feels.	c4-train.00002-of-01024_parsed_xab.conllu
SP	False	False	Sing	3	Plur	Not Pronoun	he or the police	shut	shut	Plur	shut	conj	Protesters are part of the show—people of color emerge from the crowd to dispute Trump’s claims, and he or the police shut them down to great cheers.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	faces	face	Sing	face	root	When an individual is convicted of this offense, he or she faces a criminal penalty.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Librarian or teacher	seems	seem	Sing	seem	root	Librarian or teacher seems to fit her personality more.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your school or club in London SE2 0 and surrounding areas	is	be	Sing	look	aux	If your school or club in London SE2 0 and surrounding areas, is looking to rent out the new pitch in the evening to generate additional revenue, specialist sports floodlighting may be installed.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Personal Pronoun	that event , or whatever it is called these days	is	be	Sing	January	cop	Nope that event, or whatever it is called these days is usually in January, and the player in question was not even on that "development team roster" presumably because she is already part senior team program and was on the squad that played at 4 nations.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an automobile crash or motorcycle accident that results in low property damage	does	do	Sing	mean	aux	It is important to understand that just as if you were on the highway, an automobile crash or motorcycle accident that results in low property damage, does NOT mean you cannot be injured.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	genetically modified foods , or GMOs ,	raise	raise	Plur	raise	ccomp	Kathy Engle-Dulac says genetically modified foods, or GMOs, raise the biggest concerns.	c4-train.00002-of-01024_parsed_xab.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	our popular gourmet chocolate hamper or liquer hampers	make	make	Plur	make	root	Whatever the occasion our popular gourmet chocolate hamper or liquer hampers make for a mouth watering ideal gift.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	most homeowners or property owners	improve	improve	Plur	improve	advcl:relcl	That is why most homeowners or property owners improve their security systems or alarm systems with the aid of a reliable locksmith professional.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Large and medium sized employment agencies or staffing agencies	place	place	Plur	place	root	Large and medium sized employment agencies or staffing agencies place up to thousands of employees into temporary and permanent positions in companies of various sizes and corporate policies.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a parent or person ( s ) of concern	are	be	Plur	child	cop	Investigative Research Specialties' (IRS Inc) licensed investigators may use surveillance to determine what happens when a parent or person(s) of concern are with the child.	c4-train.00002-of-01024_parsed_xab.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	a parent or parents	indulge	indulge	Plur	indulge	ccomp	Our investigators will determine whether a parent or parents indulge in reckless driving, criminal activity, alcoholism, neglect, or other activities which may affect a child's welfare.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	View B C or D	has	have	Sing	have	root	View B C or D has a two piece collar (B C in contrast), View B has contrasting fabric bow.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A deferment or forbearance	allows	allow	Sing	allow	root	A deferment or forbearance allows you to temporarily stop making your federal student loan payments or to temporarily reduce the amount you pay.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the deferment or forbearance	is	be	Sing	place	cop	You’ll need to work with your loan servicer to apply for deferment or forbearance; and be sure to keep making payments on your loan until the deferment or forbearance is in place.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	deferment or forbearance	allows	allow	Sing	allow	root	If you meet certain eligibility requirements, deferment or forbearance allows you to temporarily stop making payments or to temporarily reduce your monthly payment amount for a specified period.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	comes	come	Sing	come	advcl	That's because the teen isn't a regular operator of the vehicle, but still can drive it when he or she comes home on break.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the antenna impedance - or voltage to the current at the antenna ’s input-	matches	match	Sing	match	ccomp	Voltage standing wave ratio, or “VSWR,” is a measure that describes how well the antenna impedance -or voltage to the current at the antenna’s input- “matches” to the radio or transmission line it is connected to.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Voltage standing wave ratio , or “ VSWR , ”	is	be	Sing	measure	cop	Voltage standing wave ratio, or “VSWR,” is a measure that describes how well the antenna impedance -or voltage to the current at the antenna’s input- “matches” to the radio or transmission line it is connected to.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	PPC or pay per click	is	be	Sing	model	cop	PPC or pay per click is a unique internet marketing model in which businesses by visits.	c4-train.00002-of-01024_parsed_xab.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Any cutbacks or a potential switch to block grants	present	present	Plur	present	ccomp	Any cutbacks or a potential switch to block grants present a serious danger, said Kevin Casey, executive director of the New Jersey Council on Developmental Disabilities.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	No question or comment	is	be	Sing	bound	cop	No question or comment is out of bounds, and guests are free to discuss as much or as little as they wish.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The weekend or day away	is	be	Sing	opportunity	cop	The weekend or day away is an opportunity to get away from the regular hustle and bustle, to enjoy getting to know your group better and to dig a little deeper into the topics that Alpha has been exploring so far.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	expensive or cheap	is	be	Sing	matter	cop	Well, expensive or cheap is a matter, best left to the manufacturer and the buyer but as for me, I thoroughly enjoyed riding the café racer.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	technologies or procedures	make	make	Plur	make	acl:relcl	The event celebrates usability, when technologies or procedures make sense to us and when we can learn–and remember–how to use them, make few errors and feel satisfied with our experiences.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a restrictive firewall or NAT configuration	prevents	prevent	Sing	prevent	advcl:relcl	The last 5% are when a restrictive firewall or NAT configuration prevents a direct connection: in this case, our own relay servers are used as gateways but the communication can still only be decrypted on each end.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	any discoloration or adhesive loss	begins	begin	Sing	begin	advcl	The expected life of cast films can usually reach 10 years before any discoloration or adhesive loss begins!	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	the 101 or 112	works	work	Sing	work	ccomp	To see whether the 101 or 112 really works.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the key words of wisdom or takeaways from CEIBS that have had the biggest impact on your business approach	are	be	Plur	what	cop	Q. What are the key words of wisdom or takeaways from CEIBS that have had the biggest impact on your business approach?	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Bad behavior or the wrong belief system	deserves	deserve	Sing	deserve	root	Bad behavior or the wrong belief system deserves to be punished, right?	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the toddler or preschooler	becomes	become	Sing	become	advcl	These are especially handy when the toddler or preschooler first becomes restless on the flight.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	These quantum bits , or qubits ,	give	give	Plur	give	root	These quantum bits, or qubits, give quantum computers far more processing power than traditional computers.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your home or business	is	be	Sing	compliance	cop	Rely on Doyle Electric LLC to assess, diagnose and repair all your electrical needs, provide maintenance to any electrical system, conduct inspections and provide documentation to ensure your home or business is in compliance with regulatory codes.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Most NBA commentators or american announcers in general	do	do	Plur	realise	aux	Most NBA commentators or american announcers in general don't realise the J is silent.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	agents or their consumers shopping online	need	need	Plur	need	acl:relcl	With just a few clicks of a mouse, today's travel agent software can access the information that agents or their consumers shopping online need to research which particular hotel meets an individual's needs best.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the smell of wood burning in a fire place , fire pit , or the general smokey scent that goes with the great out doors this time of year	springs	spring	Sing	spring	conj	The leaves turn beautiful colors, the smell of wood burning in a fire place, fire pit, or the general smokey scent that goes with the great out doors this time of year always springs to mind.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	True	False	UNK	2	Sing	Not Pronoun	either you or the seller	Learn	learn		learn	conj	All you’ve figured out is that lenders require a policy for their protection, and either you or the seller ... Learn More about	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	fit	cop	If there’s anything about the sitter that makes you nervous or uncomfortable then he or she is not a good fit.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	Does	do	Sing	know	aux	Does he or she know how to administer an Epipen if your kids have severe allergies?	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a neighbor	has	have	Sing	have	advcl	If you or a neighbor has a rodent infestation, please refer to Critter Control of Seattle, for all of your pest control needs.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	does	do	Sing	do	acl:relcl	In other words, no part of Scripture fails to have practical application to how a Christian lives—what he or she does, not just what he or she thinks.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	thinks	think	Sing	think	acl:relcl	In other words, no part of Scripture fails to have practical application to how a Christian lives—what he or she does, not just what he or she thinks.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	the four or ten	show	show	Plur	show	advcl	But when the four or ten show up it can be just as costly as going bare and tossing the seven.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the next Shout or Chant used by each ally within earshot	costs	cost	Sing	cost	root	For 10 seconds, the next Shout or Chant used by each ally within earshot costs 3...6...7 less Energy.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The next shout or chant	costs	cost	Sing	cost	root	The next shout or chant costs 3...6...7 less Energy for allies within earshot.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	buyer or buyers agent	verify	verify		verify	ccomp	All measurements are approximate buyer or buyers agent to verify if deemed important.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	Takrut or better known as Tangkai by other culture	is	be	Sing	talisman	cop	For Takruts :quot; Takrut or better known as Tangkai by other culture is a well-known talisman of Thai origin for a long time.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the man or woman	is	be	Sing	person	cop	By way of example, the human resource helper can not disclose a worker’s wages to another employee, except if the man or woman is a licensed person, including a manager.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	have	advcl:relcl	The worker is indeed shocked and distraught which he or she has trouble remembering the specifics of what was said for the rest of the meeting.	c4-train.00002-of-01024_parsed_xab.conllu
SS	True	False	Sing	Not Pronoun	Sing	Not Pronoun	either Europe or the UK	tightening	tighten		tighten	acl	It is therefore difficult to make a case for either Europe or the UK tightening ahead of the US.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Table datasets , or tables ,	are	be	Plur	type	cop	Table datasets, or tables, are a type of dataset that you can create, shape, and curate for a specific purpose.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	goes	go	Sing	go	advcl	Gentleman has to accept this—that the consumer 357 does not just pay for food when he or she goes into a supermarket; they pay through their taxes for the CAP as well, and reforming the CAP is the key.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the manufacturer or the price point	is	be	Sing	who	cop	Sometimes, an instrument (regardless of who the manufacturer or the price point is) comes in needing 20 minutes of adjustments and then the very next one can require 2 hours!	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an outrageous meme or news story	crosses	cross	Sing	cross	acl:relcl	The next time an outrageous meme or news story crosses your feed, what should you do?	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Search Engine Optimization or seo	is	be	Sing	aspect	cop	Search Engine Optimization or seo is a critical aspect of the Web design that should not be forgotten.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	either or both of Crosby and Malkin	end	end		end	xcomp	The way Boston plays it won't be surprising to see either or both of Crosby and Malkin end up getting hurt and missing at least a game.	c4-train.00002-of-01024_parsed_xab.conllu
