experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the 85 - year - old Stevens , or Ginsburg ( who is not in good health )	leave	leave	Plur	leave	advcl	So, until the 85-year-old Stevens, or Ginsburg (who is not in good health) leave the Court, Roe will remain the law of the land – for now.	c4-train.00002-of-01024_parsed_xac.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	friends or family	keep	keep		keep	acl	The high quality product provides a unique timeless gift for friends or family to keep for years to come.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Aurora lights or northern lights	are	be	Plur	display	cop	Aurora lights or northern lights are natural display in the sky particularly in the high latitude region on the Earth.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Jobs or careers that do n’t offer us the opportunity to dig into our passions	end	end	Plur	end	root	Jobs or careers that don’t offer us the opportunity to dig into our passions usually end up being short-lived.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the post office or the courier	reach	reach		reach	advcl	Compute the time it took you to print those documents one by one, have the documents signed, prepare the documents for sending and wait for the post office or the courier to reach your recipient.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	have	acl:relcl	This is a secret of our trustworthy service where anybody can ask to do my essay cheap and the reason why every customer of ours returns to use the next time he or she has academic assignments to do!	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Chip - on - Board , or COB ,	refers	refer	Sing	refer	root	Chip-on-Board, or COB, refers to the semiconductor assembly technology wherein the microchip or die is directly mounted on and electrically interconnected to its final circuit board, instead of undergoing traditional assembly or packaging as an individual IC.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your child	has	have	Sing	have	advcl	If you or your child has an allergic reaction due to a certain ingredient, this Weleda children's tooth gel is a good choice to keep your child away from ingredients that may harm them.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a BROWSER or a URL	is	be	Sing	what	cop	Do you know what a BROWSER or a URL is [chrome, safari, firefox]?	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your cast or production crew	travels	travel	Sing	travel	advcl	Learn more about production insurance, what it covers, and why it is crucial to have insurance if your cast or production crew travels for work.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a research paper or a quiz	is	be	Sing	tool	cop	Sometimes a research paper or a quiz is the right tool but today we’re going to think beyond them.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a prospective customer or a currrent customer	heads	head	Sing	head	ccomp	You are not working behnind a table all evening hoping a prospective customer or a currrent customer heads your way.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	both you and / or the blogger in your life	get	get	Sing	get	ccomp	Whether you take any of my Christmas gift ideas for bloggers or not, I hope both you and/or the blogger in your life get everything they wish for this Christmas.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	He or she	is	be	Sing	person	cop	He or she is now a different person.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a new ebook reader or tablet	is	be	Sing	launch	aux	Almost every week it seems a new ebook reader or tablet is launching.	c4-train.00002-of-01024_parsed_xac.conllu
SP	False	False	Sing	1	Plur	Not Pronoun	I , or persons whose accounts I manage ,	own	own	Sing	own	appos	Disclosure: I, or persons whose accounts I manage, own shares of Tucows at the time of this writing.	c4-train.00002-of-01024_parsed_xac.conllu
SP	False	False	Sing	1	Plur	Not Pronoun	I , or persons whose accounts I manage ,	own	own	Sing	own	appos	Disclosure: I, or persons whose accounts I manage, own shares of Limco-Piedmont at the time of this writing.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your spouse or another family member	works	work	Sing	work	advcl	If your spouse or another family member works for your limited company in some capacity, it could really pay off.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a spouse or child with a vested interest in helping build the limited company	is	be	Sing	person	cop	If you don’t hold 100% of the shares yourself, a spouse or child with a vested interest in helping build the limited company is a smart person to issue some to.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the services or products	need	need	Plur	need	conj	If you sell more than one item, or assistance and the services or products need a good description of every, then build an internet page for each product and pack each web page with as much information about how the product performs, or how your service plan can benefit these people.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	any external factors – or people –	are	be	Plur	cause	aux	Pay attention to your emotional changes and see if any external factors – or people – are causing them.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a boss or coworker	is	be	Sing	push	aux	If a boss or coworker is pushing you to complete tasks more quickly, this can be completely counterproductive.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the laptop or computer	has	have	Sing	have	ccomp	Then, attempt to make sure the laptop or computer has at least two far more USB ports than you know you want.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	VMware or Microsoft	publish	publish	Plur	publish	conj	If I come across any more cases of this and get a conclusive root cause or VMware or Microsoft publish a KB on this I will update this article.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	one person or thing	gravitating	gravitate		gravitate	advcl	Talk about one person or thing gravitating toward (or to) a particular person, place, or thing: "she gravitates toward funny, easygoing men," "he gravitates to the quiet corners of the library," "we gravitate toward sources of information that confirm what we already believe," "these prices will gravitate toward the limit of what people will pay."	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Defective products or parts ,	become	become		become	root	Defective products or parts, if replaced, automatically become the property of QSAN.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Your neighborhood or office park	takes	take	Sing	take	root	Your neighborhood or office park takes on a new look as you appreciate the birds, the trees, the grass, or the clouds in the sky.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your friend or family member	know	know	Plur	know	root	within a very short time and your friend or family member know about.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the pain or swelling from your surgery	does	do	Sing	subside	aux	Be sure to contact us if the pain or swelling from your surgery does not subside or becomes worse.	c4-train.00002-of-01024_parsed_xac.conllu
