experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	resident	cop	That’s why in some cases, a landlord will be asked by the tenant to write a reference letter to confirm that he or she is, in fact, a resident of the rented property.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	resident	cop	Should a tenant need proof and confirmation that he or she is, in fact, a resident of your property, you can provide a reference letter that states all the relevant information about the tenant.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Copics , or other types of felt tip pens and markers	work	work	Plur	work	root	Copics, or other types of felt tip pens and markers also work pretty well.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	each row or entry	has	have	Sing	have	parataxis	The main point is that there is more than one column: each row or entry has multiple fields which are consistent from one row to the next.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	General Liability Insurance or General Errors and Omissions / Professional liability Insurance	does	do	Sing	cover	aux	General Liability Insurance or General Errors and Omissions/Professional liability Insurance does not cover Environmental Data!	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Insurance Policy form and / or Insurance Certificate	does	do	Sing	include	aux	If the Insurance Policy form and/or Insurance Certificate does not include “Environmental Liability”, then you are being held 100% liable for the data you were provided and actually paid for!	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the mascara brush or eyebrow pencil	hitting	hit		hit	advcl	Woof, this is one of my least favorite tasks to do with my glasses on, mostly because I just can't seem to get close enough without the mascara brush or eyebrow pencil hitting the mirror.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	What we do page or , better still , the photostream at the end of this section	shows	show	Sing	show	root	What we do page or, better still, the photostream at the end of this section shows some of the more fun activities.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the ' Fisherman ' or the ' Capitan ' hat ( everyone calls it different , but we all know what it is about )	is	be	Sing	trend	cop	This season the 'Fisherman' or the 'Capitan' hat (everyone calls it different, but we all know what it is about) is a huge trend.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	one or both	are	be	Plur	use	aux	It is, as you say, just putting one clip over the other, but if one or both are using the very first or last frame of the clip then when the app looks for media to fill the dissolve with motion then there isn't any there.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an Agriturismo , or " agricultural tourism "	is	be	Sing	what	cop	So what is an Agriturismo, or "agricultural tourism" actually?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A ruler or bench scraper	works	work	Sing	work	root	(A ruler or bench scraper works GREAT for ensuring straight lines)	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a toothpick or knife inserted in the center	comes	come	Sing	come	conj	Bake in the oven until cake separates from the sides of the pans and a toothpick or knife inserted in the center comes out clean, about 20-25 minutes.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Published mugshots and / or arrest records of MILLER , ANTHONY TYRONE	are	be	Plur	record	cop	Published mugshots and/or arrest records of MILLER, ANTHONY TYRONE are previously published records of:an arrest, an indictment, a registration, the deprivation of libery or detention.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	The mugshots and / or arrest records of MILLER , ANTHONY TYRONE published on madisonarrests.com	are	be	Plur	indication	cop	The mugshots and/or arrest records of MILLER, ANTHONY TYRONE published on madisonarrests.com are in no way an indication of guilt and they are not evidence that an actual crime has been comitted.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	future arthritis or damage	makes	make	Sing	make	root	Usually future arthritis or damage makes a hip replacement likely.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Public transport ( or public transportation )	is	be	Sing	train	cop	Public transport (or public transportation) is trains, trams, buses, and other passenger transport available for use by the public.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	much less land or even no land	needs	need	Sing	need	advcl	To provide for people driving cars to work, sporting venues, etc., significant tracts of land have to be set aside for parking adjacent to the travel destination, whereas much less land or even no land needs to be set aside for public transport (which requires much less space per person carried, or can be run to a parking area remote from the travel destination).	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your refrigerator or air conditioner	uses	use	Sing	use	advcl	A heat pump uses a refrigeration cycle exactly like your refrigerator or air conditioner uses.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an air source or a geothermal water source heat pump	is	be	Sing	choice	cop	Your geographical location of the AquaPonics System is a major factor in determining if an air source or a geothermal water source heat pump is the best choice.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the townhomes or condos in Philadelphia	are	be	Plur	budget	cop	If the townhomes or condos in Philadelphia are out of your budget, consider the many advantages of Darley Green – a master-planned community that’s a 20-minute jaunt from the urban highlights and waterfront recreation of Philadelphia.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	tips or gifts to the staff	Are	be	Plur	allow	aux	Q: Are tips or gifts to the staff allowed?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a telephone or television	Is	be	Sing	be	appos	Q: Is a telephone or television available in the room?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	commit	aux	However, the dignity of a person is not lost even when he or she has committed the worst of crimes.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	wound	aux	No one’s life may be taken away, nor may one be deprived of the opportunity to embrace once again the community that he or she has wounded and caused to suffer.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	3 roundtrips or even 6 one - ways on the Acela Express by May 19	earns	earn	Sing	earn	root	3 roundtrips or even 6 one-ways on the Acela Express by May 19 earns an Acela Business class or Regional Coach class roundtrip.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a family member	Have	have	Sing	experience	aux	Have you or a family member experienced the violent death of a loved one?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an exception or particular event	occurs	occur	Sing	occur	advcl	Do you know when and who should be notified when an exception or particular event occurs?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Independence Day , or the 4th of July ,	tops	top	Sing	top	root	Independence Day, or the 4th of July, almost always tops the list for car crashes.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the meals and / or speeches	are	be	Plur	take	aux	Weddings – Hiring Steve to perform at the entrance to the main event as a meet and greet alongside any Ushers, or during the Wedding Reception to keep the kids occupied while the meals and/or speeches are taking place can take some of the stress out of your BIG occasion!	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a person you know	is	be	Sing	need	cop	If you or a person you know is in need of addiction treatment in Buckeye, Arizona, contact an inpatient drug rehab program in the area to get your questions answered and get help right now.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or a loved one	needs	need	Sing	need	advcl	If you or a loved one needs help staying clean and sober while pregnant please call us today at 855 221 1717.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	R. Murdoch or another rich person	buys	buy	Sing	buy	parataxis	"and said Jews were not the chosen people, in a letter to be sold in London this week" Maybe R. Murdoch or another rich person buys it, destroys it, so later they can say it never existed.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the challenge or opportunity we are hoping to address	is	be	Sing	what	cop	What is the challenge or opportunity we are hoping to address?	c4-train.00001-of-01024_parsed_xab.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	the group ( or its individual members )	does	do	Sing	make	aux	How does the group (or its individual members) make decisions?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Train or plane	does	do	Sing	matter	aux	Train or plane, doesn't matter.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Cape Town , or the “ Mother City ” , as it is more affectionately known ,	is	be	Sing	place	cop	Cape Town, or the “Mother City”, as it is more affectionately known, is a place where old and new converge – in history, architecture, culture and people.	c4-train.00001-of-01024_parsed_xab.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Americans or any citizen for that matter ,	consider	consider	Plur	consider	advcl	When Americans or any citizen for that matter, consider moving to another part of the country, they are forced to make a tough choice.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The yeast ( or leaven ) Jesus is speaking about	is	be	Sing	way	cop	The yeast (or leaven) Jesus is speaking about is simply an illustrative way to describe how much a person of influence can transform a person.	c4-train.00001-of-01024_parsed_xab.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	trick - or - treaters	are	be	Plur	go	aux	"If trick-or-treaters are going out later in the day it might be a good idea to maybe put on a layer or two," she said.	c4-train.00001-of-01024_parsed_xab.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	Money or resources that have been owed to you	are	be	Plur	begin	aux	Money or resources that have been owed to you are beginning to return.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a friendship or a more significant relationship	needs	need	Sing	need	advcl	If a friendship or a more significant relationship needs mending, now is the time to do so.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	any information taken or money stolen as a result of the unlawful access	be	be		be	xcomp	Thus, there does not necessarily need to be any information taken or money stolen as a result of the unlawful access in order for a defendant to be found guilty of breach of computer security.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your home or workplace	remains	remain	Sing	remain	ccomp	Premier Security London lock specialists work in accordance with British Security Standards and install multipoint locking mechanisms to ensure your home or workplace remains safe in and around Roehampton SW15.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	bare bones that have no meat , or , even worse , carcass bones that have actually already been prepared and stripped of their meat ,	have	have	Plur	have	ccomp	See, bare bones that have no meat, or, even worse, carcass bones that have actually already been prepared and stripped of their meat, have almost no taste by themselves.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Personal Pronoun	UNK	Not Personal Pronoun	Who or what	are	be	Plur	inspiration	cop	Who or what are your main inspirations when creating your music?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	no other thing or fix	matters	matter	Sing	matter	root	Until it is, no other thing or fix really matters as much.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The sound that suddenly disappeared or the volume that is too soft	needs	need	Sing	need	root	The sound that suddenly disappeared or the volume that is too soft sometimes needs a reboot.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the volume or sound	changes	change	Sing	change	advcl	Therefore, if the volume or sound changes suddenly for no apparent reason, you could panic or worry.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The spatial resolution of 4 K , or number of pixels in the display ,	is	be	Sing	resolution	cop	The spatial resolution of 4K, or number of pixels in the display, is four times the resolution of high-definition displays, while 8K is roughly double the resolution of 4K.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Plur	Not Pronoun	you or your children	are	be	Plur	eat	aux	Are you concerned about the amount of sugar you or your children are eating?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your home or business	is	be	Sing	area	cop	If your home or business is a smaller limited driving area and you don't even think a dumpster is usually delivered to the item, think again.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a hacker or a virus	cause	cause		cause	ccomp	What is this plugin offering is a password strength tool, login protection and user enumeration which all will make it harder for a hacker or a virus to cause a damage to your website.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your family	are	be	Sing	live	aux	If you or your family are living with cancer and struggling to cope with its financial impact, there is help available.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	TuTu Helper or TuTu App as it was known before	is	be	Sing	store	cop	What is TuTu App Pokemon Go? TuTu Helper or TuTu App as it was known before is the best alternative app store.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the new hybrid bermudagrasses or zoyiagrasses	have	have	Plur	overcome	aux	The 150ÂºF rule is still as applicable today as 25 years ago - the new hybrid bermudagrasses or zoyiagrasses have not overcome the needed temperatures for growth.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your furnace or heat pump	needs	need	Sing	need	root	When that happens, your furnace or heat pump needs to be in peak condition to keep your family warm and comfortable.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the director or another department faculty	confer	confer		confer	csubj:pass	It is recommended that the director or another department faculty confer with the respondent(s) following the verbal response in order to confirm which students meet eligibility requirements for various award nominations and to avoid duplication of the Irene Ryan nominations.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The % or cooperation	giving	give		give	root	The % or cooperation perhaps giving divided Senior export covers to solve overthrown in station to own answers of rich failure or essential teacher as it became banded in the decisions and last antibiotics.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	framework ( or reality )	begins	begin	Sing	begin	root	framework( or reality) begins the foundation to a more foundational religious student.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	These shiny rods or discs	work	work	Plur	work	root	These shiny rods or discs work to both blind the birds when sunlight hits them and scare them away with the noise they generate when the wind blows.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	pest birds — or nuisance animals of any kind —	become	become	Plur	become	advcl	Ultimately, if pest birds — or nuisance animals of any kind — become a problem around your home or business, it’s wise to reach out to the experts who are trained in and knowledgeable of all the ways there are to rid your property of these unwelcomed visitors.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Which drugs or supplements	interact	interact	Plur	interact	root	Which drugs or supplements interact with esomeprazole?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the offer or Price	remains	remain	Sing	remain	acl:relcl	If applicable, we will also state the period for which the offer or Price remains valid.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	shop	aux	Think of the impact on consumers and retailers if a shopper can focus on a car, a can of peas or a widescreen television and see the price of the same item at dealerships, groceries or electronics outlets in a 10-mile radius of where he or she is shopping.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Fans or people in general	have	have	Plur	hear	aux	Fans or people in general have heard or seen some of the obscenely from both sides of the fence.	c4-train.00001-of-01024_parsed_xab.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	whatever subject and or people that they cover	need	need	Plur	need	parataxis	People in the media field are supposed to be the voice for the world, whatever subject and or people that they cover they need to find an angle where both parties are comfortable and give accurate information.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the officer or employee	has	have	Sing	have	advcl	A conflict of interest occurs when the officer or employee has professional or personal interests that create an impediment to fulfill their obligations with due impartiality and according to all relevant laws, regulations, standards or policies.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Fear of flying ( or aerophobia / aviophobia / aviatophobia )	affects	affect	Sing	affect	root	Fear of flying (or aerophobia / aviophobia / aviatophobia) affects roughly 1 in 5 people, and can be a real nuisance.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a family member	has	have	Sing	receive	aux	n general, a pre-existing condition is considered to be any medical condition where you or a family member has received care or treatment or have had symptoms that would cause an average person to seek care and treatment within a period of time immediately prior to the effective date of coverage.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your child	has	have	Sing	have	root	Maybe you or your child has a toothache or is experiencing some kind of soreness or discomfort.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A low to medium shoe or flat sandal	is	be	Sing	solution	cop	A low to medium shoe or flat sandal is the solution and looks especially nice if it�s more on the chunky side.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	iPhone or iPad	is	be	Sing	mode	cop	So if you are seasoned developer you will immediately solve how to identify if iPhone or iPad is in landscape or portrait mode etc.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the roof or business renovation	is	be	Sing	ton	cop	When the roof or business renovation is below 2 tons of squander than you are able to rent a small dumpster.	c4-train.00001-of-01024_parsed_xab.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	the expressive activities or related conduct	do	do	Plur	violate	aux	Nothing in the above sections shall be interpreted as limiting the right of free expression elsewhere on campus as long as the expressive activities or related conduct do not violate any other applicable university policies.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Pronoun	Sing	Not Pronoun	video and / or audio	tape	tape		tape	acl	Southeastern reserves the right to video and/or audio tape any public speech, assembly, or demonstration held on its campus or at any of its satellite sites.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your reason or purpose for speaking up	is	be	Sing	what	cop	By which I mean, what is your reason or purpose for speaking up?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	buy	aux	The items in the bag are not revealed so the purchaser does not know what he or she is buying.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	one size or one configuration	does	do	Sing	fit	aux	It is simple logic that one size or one configuration does not fit all.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a business or private company	insists	insist	Sing	insist	advcl	If a business or private company insists on knowing your SSN (they are not bound by the restrictions mentioned above), you can choose either to provide it or to take your business elsewhere.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	GRE or SAT	are	be	Plur	requirement	cop	GRE or SAT are also popular requirements.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A permanent resident card , or " green " card ,	is	be	Sing	proof	cop	A permanent resident card, or "green" card, is the documented proof that you are a U.S. permanent resident, so a green card must be permanently valid, right?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your name or other biographical information , such as height , weight , eye color or hair color	has	have	Sing	change	aux	If your name or other biographical information, such as height, weight, eye color or hair color has changed, you must submit copies of the appropriate legal documents, such as a registered copy of a marriage certificate, divorce decree or adoption decree showing new or changed biographical data.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	Edupliance or www.edupliance.com	supports	support	Sing	support	root	Edupliance or www.edupliance.com supports online learning with the help of webinars and conferences and provides a secure online portal for conducting these events.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	how many systems or even strategies	are	be	Plur	existence	cop	But no matter how many systems or even strategies are actually in existence, at all times be aware that roulette remains a game associated with chance and good luck.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a person 's life or wellbeing	is	be	Sing	danger	cop	A protective order can be a vital measure of safety if a person's life or wellbeing is in danger because of a spouse or partner's violent history or tendencies.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the clamp or basket	is	be	Sing	style	cop	The flower designing is the same, but you must be sure that the clamp or basket is the right style for the type of pew that your church has.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	F or the Edit menu	look	look		look	root	F or the Edit menu and by selecting "Find" look for the .	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the country or location you are in	does	do	Sing	throttle	aux	Just make sure the country or location you are in doesn't throttle after so many GB of usage.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Left — or at least that part of it which goes out to physically shut up white supremacists and fundamentalist homophobes —	looks	look	Sing	look	acl:relcl	And this largely informs the way in which the Left — or at least that part of it which goes out to physically shut up white supremacists and fundamentalist homophobes — looks at free speech as a concept.	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the following rules or conditions fx mart pvt ltd wiki	hold	hold	Plur	hold	advcl	Exit or take profit if the following rules or conditions fx mart pvt ltd wiki hold sway on the activity chart:	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	any Contribution or the Material	infringes	infringe	Sing	infringe	ccomp	If you learn of any claims alleging that any Contribution or the Material infringes any third party’s rights or is unlawful, you will immediately notify us.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	some strong growing Vine or Clematis	makes	make	Sing	make	advcl	For pergolas and arbours the value of climbers is again apparent, while for smothering up a rough old bush some strong growing Vine or Clematis makes an excellent subject.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	This ruined quoit or dolmen	lies	lie	Sing	lie	root	This ruined quoit or dolmen lies beside a minor road off the B3269 near Trebyan, Lanivet.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Mount Flagon Mênhir or standing stone	lies	lie	Sing	lie	root	Mount Flagon Mênhir or standing stone lies beside an X-shaped shipping daymark adjacent to the Tudor fortifications known as Harry's Walls above Porthmellon beach at St. Mary's, Isles of Scilly.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The longstone or menhir	stands	stand	Sing	stand	root	The longstone or menhir stands 2.4 metres tall and leans to the northeast.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Quoit or Dolmen	consists	consist	Sing	consist	root	Dating from the Neolithic, the Quoit or Dolmen consists of a massive capstone sitting atop nine uprights.	c4-train.00001-of-01024_parsed_xab.conllu
